"","Year","Week","SK05JG004_cms","SK05JG004_combined_cms","SK05JG004_predicted_cms","SK05JG006_cms","SK05JG013_cms","SK05JG014_cms","SK05JG014_combined_cms","SK05JG014_predicted_cms","Ungauged_predicted_cms","RC_IC_cms"
"540",1990,10,3.20857142857143,3.20857142857143,3.10631049644549,1.52857142857143,0.697142857142857,0.557285714285714,0.557285714285714,0.260893334415086,0.619702876316114,1.25442857142857
"541",1990,11,2.86714285714286,2.86714285714286,1.81195335709332,1.52857142857143,0.119142857142857,0.617142857142857,0.617142857142857,0.116031564562676,0.0482075068163543,0.736285714285714
"542",1990,12,2.40285714285714,2.40285714285714,1.69883207150636,1.53142857142857,0.0752857142857143,0.182285714285714,0.182285714285714,0.0955086636045151,-0.00339087781243999,0.257571428571429
"543",1990,13,2.79714285714286,2.79714285714286,2.07213394226504,1.52428571428571,0.209714285714286,0.130714285714286,0.130714285714286,0.15649931846634,0.181634623798697,0.340428571428571
"544",1990,14,2.68,2.68,1.84646300505429,1.53285714285714,0.0801428571428571,0.073,0.073,0.158226814285714,0.0752361907685714,0.153142857142857
"545",1990,15,1.71,1.71,1.62573688972286,1.54571428571429,0.0252857142857143,0.00842857142857143,0.00842857142857143,0.131034128571429,-0.0762972388485714,0.0337142857142857
"546",1990,16,2.25571428571429,2.25571428571429,2.72757863443429,2.68714285714286,0.016,0,0,0.1264312,-0.101995422708571,0.016
"547",1990,17,8.40428571428571,8.40428571428571,9.06125519281429,9.02142857142857,0.0158571428571429,0,0,0.126360385714286,-0.102390907185714,0.0158571428571429
"548",1990,18,11.5571428571429,11.5571428571429,11.8522850552057,11.8142857142857,0.0154285714285714,0,0,0.126147942857143,-0.103577173365714,0.0154285714285714
"549",1990,19,11.8571428571429,11.8571428571429,11.9944727643086,11.9857142857143,0.00857142857142857,0,0,0.122748857142857,-0.12256180712,0.00857142857142857
"550",1990,20,12.4285714285714,12.4285714285714,11.8403762824943,11.8285714285714,0.00928571428571429,0,0,0.123102928571429,-0.120583788934286,0.00928571428571429
"551",1990,21,12.2428571428571,12.2428571428571,11.7045526904514,11.6714285714286,0.0142857142857143,0,0,0.125581428571429,-0.106743023834286,0.0142857142857143
"552",1990,22,12.4,12.4,11.75831660878,11.7428571428571,0.0101428571428571,0,0,0.123527814285714,-0.118211205505714,0.0101428571428571
"553",1990,23,12.5,12.5,12.0650757120543,12.0142857142857,0.0184285714285714,0,0,0.127635042857143,-0.0952736165171429,0.0184285714285714
"554",1990,24,12.8428571428571,12.8428571428571,12.5262025443857,12.4571428571429,0.0227142857142857,0,0,0.129759471428571,-0.0834140699,0.0227142857142857
"555",1990,25,12.2714285714286,12.2714285714286,12.7643454046514,12.7714285714286,0.00485714285714286,0,0,0.120907685714286,-0.132847995348571,0.00485714285714286
"556",1990,26,12.1428571428571,12.1428571428571,12.7193227832771,12.7428571428571,0.001,0,0,0.1189957,-0.14353005958,0.001
"557",1990,27,12.4428571428571,12.4428571428571,12.5831682619429,12.6,0.00257142857142857,0,0,0.119774657142857,-0.139177823771429,0.00257142857142857
"558",1990,28,10.7,10.7,10.6850370689914,10.7085714285714,0.001,0,0,0.1189957,-0.14353005958,0.001
"559",1990,29,9.28,9.28,9.37227142857143,9.51857142857143,0,0,0,0,-0.1463,0
"560",1990,30,9.43142857142857,9.43142857142857,9.39528476655429,9.48714285714286,0.000857142857142857,0,0,0.0512106,-0.143925833445714,0.000857142857142857
"561",1990,31,8.67428571428571,8.67428571428571,8.42108853138572,8.43,0.00442857142857143,0,0,0.120695242857143,-0.1340352829,0.00442857142857143
"562",1990,32,6.19285714285714,6.19285714285714,6.42409509148857,6.55285714285714,0.000142857142857143,0,0,0.0169993857142857,-0.145904294225714,0.000142857142857143
"563",1990,33,6.37714285714286,6.37714285714286,6.36512857142857,6.51142857142857,0,0,0,0,-0.1463,0
"564",1990,34,6.67714285714286,6.67714285714286,6.29512857142857,6.44142857142857,0,0,0,0,-0.1463,0
"565",1990,35,6.74714285714286,6.74714285714286,6.23227142857143,6.37857142857143,0,0,0,0,-0.1463,0
"566",1990,36,6.70428571428571,6.70428571428571,6.21266652006,6.34142857142857,0.000142857142857143,0,0,0.0169993857142857,-0.145904294225714,0.000142857142857143
"567",1990,37,6.63714285714286,6.63714285714286,6.33655714285714,6.48285714285714,0,0,0,0,-0.1463,0
"568",1990,38,6.44571428571429,6.44571428571429,6.43798571428571,6.58428571428571,0,0,0,0,-0.1463,0
"569",1990,39,5.87571428571429,5.87571428571429,5.43227142857143,5.57857142857143,0,0,0,0,-0.1463,0
"570",1990,40,3.68857142857143,3.68857142857143,3.58655714285714,3.73285714285714,0,0,0,0,-0.1463,0
"571",1990,41,3.71714285714286,3.71714285714286,3.54227142857143,3.68857142857143,0,0,0,0,-0.1463,0
"572",1990,42,1.88457142857143,1.88457142857143,1.30099465166857,1.37714285714286,0.000571428571428571,0,0,0.0679975428571429,-0.144717176902857,0.000571428571428571
"573",1990,43,1.50285714285714,1.50285714285714,1.41932278327714,1.44285714285714,0.001,0,0,0.1189957,-0.14353005958,0.001
"574",1990,44,1.345,1.345,1.37242322309714,1.44857142857143,0.000571428571428571,0,0.0169993857142857,0.0679975428571429,-0.144717176902857,0.0175708142857143
"575",1990,45,1.45814285714286,1.45814285714286,1.28512857142857,1.43142857142857,0,NA,0,0,-0.1463,0
"576",1990,46,1.43328571428571,1.43328571428571,1.31227142857143,1.45857142857143,0,NA,0,0,-0.1463,0
"577",1990,47,1.17614285714286,1.17614285714286,1.3037,1.45,0,NA,0,0,-0.1463,0
"578",1990,48,1.27285714285714,1.27285714285714,1.28104285714286,1.41285714285714,0,NA,0,0,-0.131814285714286,0
"579",1990,49,1.18571428571429,1.18571428571429,1.28582857142857,1.38142857142857,0,NA,0,0,-0.0956,0
"580",1990,50,1.13,1.13,1.25725714285714,1.35285714285714,0,NA,0,0,-0.0956,0
"581",1990,51,1.23714285714286,1.23714285714286,1.24154285714286,1.33714285714286,0,NA,0,0,-0.0956,0
"582",1990,52,1.19285714285714,1.19285714285714,1.26868571428571,1.36428571428571,0,NA,0,0,-0.0956,0
"583",1990,53,1.2,1.2,1.2844,1.38,0,NA,0,0,-0.0956,0
"584",1991,1,1.07714285714286,1.07714285714286,1.2844,1.38,0,NA,0,0,-0.0956,0
"585",1991,2,0.935714285714286,0.935714285714286,1.31011428571429,1.40571428571429,0,NA,0,0,-0.0956,0
"586",1991,3,1.10214285714286,1.10214285714286,1.3444,1.44,0,NA,0,0,-0.0956,0
"587",1991,4,1.14571428571429,1.14571428571429,1.3444,1.44,0,NA,0,0,-0.0956,0
