"","date_ymd","Year","Month","SK05JG004_cms","SK05JG004_combined_cms","SK05JG004_predicted_cms","SK05JG006_cms","SK05JG013_cms","SK05JG014_cms","SK05JG014_combined_cms","SK05JG014_predicted_cms","Ungauged_predicted_cms","RC_IC_cms"
"216",1997-12-01,1997,12,NA,1.87923870967742,1.87923870967742,1.97483870967742,0,NA,0,0,-0.0956,0
"217",1998-01-01,1998,1,NA,1.8502064516129,1.8502064516129,1.9458064516129,0,NA,0,0,-0.0956,0
"218",1998-02-01,1998,2,NA,1.76725714285714,1.76725714285714,1.86285714285714,0,NA,0,0,-0.0956,0
"219",1998-03-01,1998,3,NA,2.3496486521999,2.3496486521999,1.8358064516129,0.291290322580645,0.182548387096774,0.182548387096774,0.101742840800181,0.120809037206173,0.473838709677419
"220",1998-04-01,1998,4,NA,4.77922048578667,4.77922048578667,4.49966666666667,0.0722,0.0886333333333333,0.0886333333333333,0.15428954,0.05306427912,0.160833333333333
"221",1998-05-01,1998,5,NA,8.38035207005161,8.38035207005161,8.28,0.0300645161290323,0,0,0.133402980645161,-0.0631154267225807,0.0300645161290323
"222",1998-06-01,1998,6,NA,8.26395775428067,8.26395775428067,8.14966666666667,0.0333666666666667,0.0442666666666667,0.0442666666666667,0.135039856666667,-0.0541154357193333,0.0776333333333333
"223",1998-07-01,1998,7,NA,4.53180059755355,4.53180059755355,4.44161290322581,0.0285806451612903,0.101451612903226,0.101451612903226,0.12884484516129,-0.0672377959948387,0.130032258064516
"224",1998-08-01,1998,8,NA,4.83207991653613,4.83207991653613,4.87741935483871,0.00216129032258065,0,0,0.0928132870967742,-0.140314015721935,0.00216129032258065
"225",1998-09-01,1998,9,NA,4.856837174996,4.856837174996,4.954,0.00133333333333333,0,0,0.0441109333333333,-0.142607091670667,0.00133333333333333
"226",1998-10-01,1998,10,NA,2.0049521462129,2.0049521462129,1.84854838709677,0.0432258064516129,0,0,0.139927032258065,-0.0267490795935484,0.0432258064516129
"227",1998-11-01,1998,11,NA,1.3847,1.3847,1.531,0,NA,0,0,-0.1463,0
"228",1998-12-01,1998,12,NA,1.41698064516129,1.41698064516129,1.51258064516129,0,NA,0,0,-0.0956,0
"229",1999-01-01,1999,1,NA,1.32698064516129,1.32698064516129,1.42258064516129,0,NA,0,0,-0.0956,0
"230",1999-02-01,1999,2,NA,1.3144,1.3144,1.41,0,NA,0,0,-0.0956,0
"231",1999-03-01,1999,3,NA,4.29827711711607,4.29827711711607,1.3391935483871,3.35412903225806,1.487,1.487,0.350524724709879,-0.745570188238965,4.84112903225806
"232",1999-04-01,1999,4,NA,0.971216822528667,0.971216822528667,0.0566666666666667,0.222233333333333,0.556733333333333,0.556733333333333,0.228661063333333,0.463655759195333,0.778966666666667
"233",1999-05-01,1999,5,NA,0.775646221764516,0.775646221764516,0.139838709677419,0.156096774193548,0.0768387096774194,0.0768387096774194,0.195877170967742,0.283833566925806,0.232935483870968
"234",1999-06-01,1999,6,NA,1.277809745534,1.277809745534,1.1736,0.0309666666666667,0.0646333333333333,0.0646333333333333,0.133850176666667,-0.0606070977993333,0.0956
"235",1999-07-01,1999,7,NA,3.80718650137935,3.80718650137935,3.49709677419355,0.0793548387096774,0.00203225806451613,0.00203225806451613,0.157836193548387,0.0728986949277419,0.0813870967741935
"236",1999-08-01,1999,8,NA,4.09239311637613,4.09239311637613,4.03451612903226,0.0200967741935484,0.00216129032258065,0.00216129032258065,0.128461970967742,-0.0906817578174194,0.022258064516129
