"","file_name","sheet_name","source","lab","UVM_id","Aqualog_id","V1","V2","exp_num","DF","sample_num","rep_num","sample_id","sample_id_DOC","sample_id_EEM","bottle_id1","EEMs","Rep","DOC","EEM_contaminated","notes","site_name","site_altname","date_ymd","latitude","longitude","DOC_mg.L","A254","SUVA","A280","A350","A440","S275to295","S350to400","SR","BA","FI","HIX","HIX_Ohno","PeakA_RU","PeakB_RU","PeakC_RU","PeakD_RU","PeakE_RU","PeakM_RU","PeakN_RU","PeakP_RU","PeakT_RU","PeakA_percent","PeakB_percent","PeakC_percent","PeakD_percent","PeakE_percent","PeakM_percent","PeakN_percent","PeakP_percent","PeakT_percent","Fmax","SUVA254","TDN_mg.L","chla_ug.L","PeakA","PeakB","PeakC","PeakD","PeakE","PeakM","PeakN","PeakP","PeakT","turb_lab_NTU","turb_field_NTU","secchi_depth_m","ext_coeff_m"
"11","BuffalloPound_DOM_AllData.xlsx","BP WSA Spatiotemporal","JM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opposite Sun Valley","BPL opp. Sun Valley",2015-06-01,50.95,-106.32,NA,22.7368019727119,NA,15.5963912812631,3.83233590684199,0.641081289431813,0.020115231656257,0.0202913258784912,0.991321699563218,0.741480881155157,1.59088730172589,7.87058341190061,0.887267843211032,1.70569092286513,NA,1.07321417500607,0.419727149776224,0.108530857855364,1.11110139354668,NA,0.0316086500687438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19207630810509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","BuffalloPound_DOM_AllData.xlsx","BP WSA Spatiotemporal","JM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opposite Parkview","BP opp. park view",2015-06-01,50.95,-106.32,NA,19.1535009735475,NA,13.0598693628705,3.08748860298021,0.490958941092232,0.020883888163876,0.0206455263161744,1.01154544786368,0.76435348571442,1.59028199553483,6.91304937945583,0.873626467870119,1.3992227860261,NA,0.873248582181846,0.338044749804665,0.0904006613575699,0.908362337074346,NA,0.0264327890365456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68710381866713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","BuffalloPound_DOM_AllData.xlsx","BP WSA Spatiotemporal","JM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opposite Parkview","BPL opposite of park view",2015-06-01,NA,NA,NA,19.6368817292706,NA,13.4656597028358,3.23629296749969,0.515188885015742,0.0205161261160609,0.0206196440888802,0.994979643083408,0.752027391044859,1.60207778761842,7.36325986262535,0.88042939996772,1.44467965311594,NA,0.89985052711727,0.349665640174571,0.0921686722427222,0.940785942895381,NA,0.0300358191764604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72234371375072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","BuffalloPound_DOM_AllData.xlsx","BP WSA Spatiotemporal","JM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opposite WTP Intake","BPL opp. WTP (water treatment plant) intake",2015-06-01,50.65615,-105.5206,NA,19.1359856089961,NA,13.0567146603736,3.06357315820792,0.48080094192367,0.0208882419137689,0.0207895186805466,1.00474870220611,0.756718145842723,1.59643589085581,6.80896955881228,0.871942131100829,1.36519543870049,NA,0.847740911637425,0.326955012544704,0.0868557573300411,0.886278248935402,NA,0.0286072502779041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.60250071004725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","BuffalloPound_DOM_AllData.xlsx","BP WSA Spatiotemporal","JM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opposite WTP Intake","BPL opp. WTP (water treatment plant) intake",2015-06-01,50.65615,-105.5206,NA,19.09024693586,NA,13.0629833008068,3.08206007273776,0.495498915084986,0.0207958727628988,0.0208409319758019,0.997837946356935,0.771429756543359,1.58657404750432,6.33872425583015,0.863736534424827,1.38692180055409,NA,0.865459172603772,0.333831499331951,0.0874452653451152,0.905853855468446,NA,0.0257616852789402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70055865837103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","BuffalloPound_DOM_AllData.xlsx","BP WSA Spatiotemporal","JM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5 mi Above Outlet","BPL 0.5 miles above outlet",2015-06-01,50.504047,50.504047,NA,18.9532836853069,NA,12.9154875364799,3.01144589603261,0.470276405442489,0.0209889997286207,0.0208246334473124,1.00789287752527,0.747944914049015,1.59154659489369,7.24298228804985,0.878684684128251,1.34190367124528,NA,0.831934835279574,0.319771790643952,0.0846561271279481,0.871305361992593,NA,0.0297781851928452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53555863542964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","BuffalloPound_DOM_AllData.xlsx","BP WSA Spatiotemporal","JM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qu'Appelle River at Marquis","Qu'appelle River at Marquis",2015-06-02,50.58653,50.58653,NA,11.4395313421203,NA,7.82993350677567,1.91032013731127,0.308135210843007,0.0204211992507491,0.0208068125639766,0.981466968472858,0.725242130084234,1.53215997431808,8.36825886415123,0.893256578997126,0.92286417555611,NA,0.531010689531028,0.23711487505197,0.0756392378102463,0.555338560622714,NA,0.0181432364207059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69354339353838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","BuffalloPound_DOM_AllData.xlsx","BP WSA Spatiotemporal","JM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5 mi Below Outlet","Buffalo Pound outlet",2015-06-02,50.57318,50.57318,NA,18.6138503211413,NA,12.5960446509359,2.84246757499186,0.434302891518485,0.0215141307261812,0.0211839182817161,1.01558788322697,0.765987368515573,1.5837592981928,5.95871144578814,0.856295233996911,1.29027625283043,NA,0.789606081239163,0.302942408163415,0.0800513400271199,0.832711839277633,NA,0.0227336192613124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50150528855595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","BuffalloPound_DOM_AllData.xlsx","BP WSA Spatiotemporal","JM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pelican Lake","Pelican Lake S (south) basin",2015-06-02,50.57263,50.57263,NA,48.6185654074631,NA,29.4949209495889,5.83214532301444,0.892343063981722,0.0248424226218084,0.0215687622803955,1.15177784885637,0.79501784806083,1.60228849800851,6.52367669381683,0.867086261053478,2.9093096191074,NA,1.80934279161264,0.68126207360589,0.192407400466806,1.88674392592242,NA,0.0507319448042457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.60110407408721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","BuffalloPound_DOM_AllData.xlsx","BP WSA Spatiotemporal","JM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qu'Appelle River at Marquis","Qu'appelle River at Marquis",2015-06-10,50.97,-105.95,NA,11.0017269922542,NA,7.47413396184734,1.78140571154213,0.282438456907753,0.0208044907408763,0.0207705424469755,1.00163444426102,0.733925544855643,1.5166128704272,6.67772004456597,0.869753000344449,0.830387735830854,NA,0.475243843514781,0.211864048579699,0.0669345377483871,0.503682066938692,NA,0.0173222116633845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56267912241508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
