"","site_name","site_altname","date_ymd","Year","Month","DOY","latitude","longitude","TDN_mg.L","DOC_mg.L","A254","A280","A350","A440","S275to295","S350to400","SR","BA","FI","HIX","HIX_Ohno","Fmax","PeakA_RU","PeakB_RU","PeakC_RU","PeakD_RU","PeakE_RU","PeakM_RU","PeakN_RU","PeakP_RU","PeakT_RU","PeakA_percent","PeakB_percent","PeakC_percent","PeakD_percent","PeakE_percent","PeakM_percent","PeakN_percent","PeakP_percent","PeakT_percent","turb_lab_NTU","turb_field_NTU","chla_ug.L","secchi_depth_m","ext_coeff_m"
"12","Opposite WTP Intake","BPL opp. WTP (water treatment plant) intake",2015-06-01,"2015","Jun",152,50.65615,-105.5206,NA,NA,19.1359856089961,13.0567146603736,3.06357315820792,0.48080094192367,0.0208882419137689,0.0207895186805466,1.00474870220611,0.756718145842723,1.59643589085581,6.80896955881228,0.871942131100829,2.60250071004725,1.36519543870049,NA,0.847740911637425,0.326955012544704,0.0868557573300411,0.886278248935402,NA,0.0286072502779041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Opposite WTP Intake","BPL opp. WTP (water treatment plant) intake",2015-06-01,"2015","Jun",152,50.65615,-105.5206,NA,NA,19.09024693586,13.0629833008068,3.08206007273776,0.495498915084986,0.0207958727628988,0.0208409319758019,0.997837946356935,0.771429756543359,1.58657404750432,6.33872425583015,0.863736534424827,2.70055865837103,1.38692180055409,NA,0.865459172603772,0.333831499331951,0.0874452653451152,0.905853855468446,NA,0.0257616852789402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","0.5 mi Above Outlet","BPL 0.5 miles above outlet",2015-06-01,"2015","Jun",152,50.504047,50.504047,NA,NA,18.9532836853069,12.9154875364799,3.01144589603261,0.470276405442489,0.0209889997286207,0.0208246334473124,1.00789287752527,0.747944914049015,1.59154659489369,7.24298228804985,0.878684684128251,2.53555863542964,1.34190367124528,NA,0.831934835279574,0.319771790643952,0.0846561271279481,0.871305361992593,NA,0.0297781851928452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Qu'Appelle River at Marquis","Qu'appelle River at Marquis",2015-06-02,"2015","Jun",153,50.58653,50.58653,NA,NA,11.4395313421203,7.82993350677567,1.91032013731127,0.308135210843007,0.0204211992507491,0.0208068125639766,0.981466968472858,0.725242130084234,1.53215997431808,8.36825886415123,0.893256578997126,1.69354339353838,0.92286417555611,NA,0.531010689531028,0.23711487505197,0.0756392378102463,0.555338560622714,NA,0.0181432364207059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","0.5 mi Below Outlet","Buffalo Pound outlet",2015-06-02,"2015","Jun",153,50.57318,50.57318,NA,NA,18.6138503211413,12.5960446509359,2.84246757499186,0.434302891518485,0.0215141307261812,0.0211839182817161,1.01558788322697,0.765987368515573,1.5837592981928,5.95871144578814,0.856295233996911,2.50150528855595,1.29027625283043,NA,0.789606081239163,0.302942408163415,0.0800513400271199,0.832711839277633,NA,0.0227336192613124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Qu'Appelle River at Marquis","Qu'appelle River at Marquis",2015-06-10,"2015","Jun",161,50.97,-105.95,NA,NA,11.0017269922542,7.47413396184734,1.78140571154213,0.282438456907753,0.0208044907408763,0.0207705424469755,1.00163444426102,0.733925544855643,1.5166128704272,6.67772004456597,0.869753000344449,1.56267912241508,0.830387735830854,NA,0.475243843514781,0.211864048579699,0.0669345377483871,0.503682066938692,NA,0.0173222116633845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Upstream of Causeway East","BP u/s (upstream) causeway east side",2015-06-10,"2015","Jun",161,50.97,-105.95,NA,NA,22.6183625101695,15.2692005150228,3.6281120627664,0.581676907228156,0.0207880364867568,0.0207256255653226,1.00301129252951,0.733821674072542,1.56916714556656,7.87610875506688,0.887338018540032,3.09341924665606,1.66784566628516,NA,1.01394807717797,0.397743651594319,0.109152775699955,1.0651338581432,NA,0.0310634257127146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Upstream of Causeway Centre","BP u/s (upstream) causeway",2015-06-10,"2015","Jun",161,50.95,-106.32,NA,NA,21.9621472150232,14.8169701217053,3.48699199159349,0.549246414821702,0.0207493790287819,0.0208975789371124,0.992908273787286,0.733335210289064,1.56155459803472,5.9179740833645,0.855449010367836,3.05522262927571,1.58557847686217,NA,0.967618049660348,0.37515885262554,0.102420683864695,1.01519215938552,NA,0.0266642905192607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","0.5 mi Below Causeway","BP 0.5 miles below causeway",2015-06-10,"2015","Jun",161,NA,NA,NA,NA,26.9087149777644,18.1691976784018,4.28020987937717,0.674047910589685,0.0206586941880378,0.0210097504480166,0.98329079344148,0.737690303340841,1.58831990065094,6.28117221744478,0.862659477054515,3.76000295425991,1.95471508570565,NA,1.21752363343496,0.464426149105517,0.119767768444389,1.26900511996924,NA,0.0337004864594368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Opposite South Lake","BP opposite south lake",2015-06-10,"2015","Jun",161,50.65615,-105.5206,NA,NA,25.3318143778242,17.123058642306,4.02655834523422,0.631942658489151,0.0207968108319916,0.0210201733443979,0.989373897695958,0.739422781801722,1.59278666987425,7.27911799812384,0.879214186797843,3.52302186450413,1.87362352422714,NA,1.16245804537737,0.448240570800668,0.115156834403467,1.2084758200831,NA,0.0315037533305115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Opposite Sun Valley","BP opposite Sun Valley",2015-06-10,"2015","Jun",161,50.65615,-105.5206,NA,NA,21.8092376463803,14.7033456189119,3.4783004726534,0.565734205588224,0.0208606213903525,0.0206149859041845,1.01191538462892,0.749368185186844,1.58780367375279,6.60551180418439,0.868516409447971,2.99544050439061,1.57417652262519,NA,0.971451355959261,0.377252151091191,0.0988523050896824,1.01437258951472,NA,0.0252588255514674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
