,file_name,sheet_name,site_name,site_altname,date_ymd,latitude,longitude,sample_num,sample_id,sample_id_DOC,sample_id_EEM,bottle_id1,EEMs,Rep,DOC,EEM_contaminated,DOC_mg.L,SUVA254,A254,SUVA,A280,A350,A440,S275to295,S350to400,SR,BA,FI,HIX,HIX_Ohno,PeakA_RU,PeakB_RU,PeakC_RU,PeakD_RU,PeakE_RU,PeakM_RU,PeakN_RU,PeakP_RU,PeakT_RU,PeakA_percent,PeakB_percent,PeakC_percent,PeakD_percent,PeakE_percent,PeakM_percent,PeakN_percent,PeakP_percent,PeakT_percent,C1_RU,C2_RU,C3_RU,C4_RU,C5_RU,C6_RU,Fmax,C1_pc,C2_pc,C3_pc,C4_pc,C5_pc,C6_pc,TDN_mg.L,turb_lab_NTU,turb_field_NTU,chla_ug.L,secchi_depth_m,ext_coeff_m
1,BuffalloPound_DOM_AllData.xlsx,BP WSA Spatiotemporal,Upstream of Causeway Centre,BPL u/s (upstream) of causeway,2015-06-01,50.721563,-105.603458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.87525383,NA,28.26355186,6.986448678,1.156508323,0.019775707,0.020401636,0.969319673,0.716609044,1.589596737,10.00690664,0.909147953,3.148111077,NA,2.017848373,0.791827962,0.202415094,2.081105616,NA,0.057195012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.786730774,1.141900707,0.988292155,0.785386946,0.653002143,0.417424805,5.772737531,30.95118676,19.78092198,17.11999116,13.60510403,11.31182805,7.230968032,NA,NA,NA,NA,NA,NA
2,BuffalloPound_DOM_AllData.xlsx,BP WSA Spatiotemporal,Upstream of Causeway East,BPL u/s (upstream) causeway (E - east side),2015-06-01,50.722173,-105.599311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.49426084,NA,29.53677359,7.23998425,1.24168245,0.01991558,0.019988849,0.99633452,0.71992031,1.580244989,8.785432513,0.897807276,3.187866352,NA,2.059448019,0.786096255,0.199796486,2.136581492,NA,0.057687065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.816163922,1.177093939,0.993472736,0.759074833,0.67336491,0.512898928,5.932069269,30.61602688,19.84288932,16.74749048,12.79612221,11.35126513,8.646205978,NA,NA,NA,NA,NA,NA
3,BuffalloPound_DOM_AllData.xlsx,BP WSA Spatiotemporal,Upstream of Causeway West,BPL u/s (upstream) causeway W (west side),2015-06-01,50.720744,-105.606945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.33581345,NA,28.73664835,7.018422625,1.138677571,0.019921822,0.020522436,0.970733807,0.71721967,1.578714833,9.75340655,0.907006213,3.094965933,NA,1.995565516,0.770592677,0.197364024,2.064386032,NA,0.055429465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.756627565,1.147208928,0.968019231,0.74506218,0.655408484,0.415774658,5.688101047,30.88249577,20.16857505,17.01831988,13.09861014,11.52244798,7.309551188,NA,NA,NA,NA,NA,NA
4,BuffalloPound_DOM_AllData.xlsx,BP WSA Spatiotemporal,1.5 km below Qu'Appelle R. Inflow Centre,BPL below Qu'ap inflow,2015-06-01,50.735692,-105.62639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.94493667,NA,28.57154679,7.118789111,1.202805462,0.019644266,0.020040565,0.980225139,0.713269743,1.584790423,9.311446557,0.903020396,3.05025689,NA,1.940786688,0.757457204,0.195888741,2.00877727,NA,0.055838892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.709032356,1.129909758,0.951007712,0.739704868,0.626748121,0.446672026,5.60307484,30.5016871,20.1658873,16.97296108,13.20176669,11.18578886,7.971908967,NA,NA,NA,NA,NA,NA
5,BuffalloPound_DOM_AllData.xlsx,BP WSA Spatiotemporal,1.5 km below Qu'Appelle R. Inflow East,BPL below Qu'ap inflow (E - east side),2015-06-01,50.736322,-105.623713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.25555381,NA,24.59405286,6.135448569,1.034140583,0.019741862,0.020149189,0.979784463,0.720195887,1.573703659,8.52710222,0.895036289,2.682444203,NA,1.678435336,0.681184814,0.180194103,1.728723655,NA,0.051958451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.477607374,0.971991886,0.844340881,0.675747858,0.560454322,0.444147848,4.974290169,29.704889,19.54031335,16.97409786,13.58480979,11.26702109,8.92886891,NA,NA,NA,NA,NA,NA
6,BuffalloPound_DOM_AllData.xlsx,BP WSA Spatiotemporal,Upstream of Causeway West,BP u/s (upstream) causeway WS (west side),2015-06-01,50.720744,-105.606945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.30716405,NA,13.78220936,3.341520839,0.556274179,0.0206331,0.020260488,1.018391085,0.729905048,1.555882281,7.912399605,0.887796773,1.531982209,NA,0.932012349,0.370960992,0.103869635,0.970748608,NA,0.028333265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.802924042,0.606623696,0.464399396,0.366647054,0.321452218,0.276555039,2.838601444,28.28590269,21.37051318,16.36014794,12.91646825,11.32431671,9.742651234,NA,NA,NA,NA,NA,NA
7,BuffalloPound_DOM_AllData.xlsx,BP WSA Spatiotemporal,1.5 km below Qu'Appelle R. Inflow West,BPL below Qu'ap. inflow (W),2015-06-01,50.734637,-105.629262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.759235,NA,26.85956913,6.6290646,1.088109124,0.019866939,0.020434717,0.972215038,0.719001625,1.580025944,9.967133724,0.908818473,2.935004812,NA,1.859100485,0.730804174,0.191847835,1.921292472,NA,0.053346402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.638215337,1.077440318,0.917737911,0.726804501,0.60049407,0.385830892,5.34652303,30.64076087,20.15216828,17.16513529,13.5939656,11.23148758,7.216482377,NA,NA,NA,NA,NA,NA
8,BuffalloPound_DOM_AllData.xlsx,BP WSA Spatiotemporal,0.5 mi Below Causeway,BPL 0.5 miles below causeway,2015-06-01,50.71159,-105.58777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.00772679,NA,19.81567575,4.831019119,0.777664487,0.020152121,0.020575752,0.97941113,0.724894963,1.579330523,9.185721907,0.901823355,2.151175981,NA,1.359875965,0.531432419,0.136170677,1.40749886,NA,0.038961334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19153626,0.811801507,0.663710039,0.524624799,0.450139605,0.321175261,3.96298747,30.06661689,20.48458424,16.74771984,13.238114,11.35859268,8.104372348,NA,NA,NA,NA,NA,NA
9,BuffalloPound_DOM_AllData.xlsx,BP WSA Spatiotemporal,Opposite South Lake,BPL opp. South lake,2015-06-01,50.68295,-105.5591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7681077,NA,16.29290719,4.012135956,0.663161801,0.02008779,0.020274386,0.99079644,0.73381592,1.590302286,8.716177043,0.897078862,1.793420211,NA,1.125632711,0.444076534,0.115218663,1.164151445,NA,0.032500011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995452682,0.661435392,0.552491757,0.445106625,0.376325645,0.294151482,3.324963582,29.93875443,19.89301162,16.61647544,13.38681204,11.31818847,8.846758012,NA,NA,NA,NA,NA,NA
10,BuffalloPound_DOM_AllData.xlsx,BP WSA Spatiotemporal,Opposite Sun Valley,BPL opp. Sun Valley,2015-06-01,50.65615,-105.52058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.58547363,NA,14.11661406,3.455776948,0.562990795,0.020232158,0.020368524,0.993305064,0.749732861,1.581361901,7.727240471,0.885416243,1.523486808,NA,0.95398147,0.374942234,0.098879233,0.985476926,NA,0.028340424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833762385,0.56373893,0.469727675,0.378781822,0.338308194,0.286270815,2.87058982,29.04498507,19.63843548,16.36345504,13.19526112,11.78531993,9.97254336,NA,NA,NA,NA,NA,NA
