,Discharge.Calculated@05JF006,Discharge.Calculated@05JF006,Discharge.Calculated@05JF006,Discharge.Calculated@05JF006
dd/mm/yyyy HH:MM:SS,m^3/s,,,
Date-Time,Value,Grade,Approval,Interpolation Code
17/09/2014 00:00:00,0.0597759270026322,,,1
18/09/2014 00:00:00,0.0605206541839965,,,1
19/09/2014 00:00:00,0.0542637205373219,,,1
20/09/2014 00:00:00,0.0550290014439234,,,1
21/09/2014 00:00:00,0.049486601153712,,,1
22/09/2014 00:00:00,0.0495214333349574,,,1
23/09/2014 00:00:00,0.0453718331819425,,,1
24/09/2014 00:00:00,0.0449101102985424,,,1
25/09/2014 00:00:00,0.0374419874649331,,,1
26/09/2014 00:00:00,0.0334705741398203,,,1
27/09/2014 00:00:00,0.029445286562457,,,1
28/09/2014 00:00:00,0.0386228307880727,,,1
29/09/2014 00:00:00,0.0325478281758364,,,1
30/09/2014 00:00:00,0.0365383641734121,,,1
01/10/2014 00:00:00,0.0486136514504249,,,1
02/10/2014 00:00:00,0.0533189825498051,,,1
03/10/2014 00:00:00,0.0555300496926323,,,1
04/10/2014 00:00:00,0.046649107261835,,,1
05/10/2014 00:00:00,0.0442245815183469,,,1
06/10/2014 00:00:00,0.0457066944861738,,,1
07/10/2014 00:00:00,0.0412449100704599,,,1
08/10/2014 00:00:00,0.0347394279890737,,,1
09/10/2014 00:00:00,0.0312548370963554,,,1
10/10/2014 00:00:00,0.0389823007115008,,,1
11/10/2014 00:00:00,0.055103249083379,,,1
12/10/2014 00:00:00,0.0529818940431822,,,1
13/10/2014 00:00:00,0.0484209884629839,,,1
14/10/2014 00:00:00,0.0379693782029214,,,1
15/10/2014 00:00:00,0.0354164914350766,,,1
16/10/2014 00:00:00,0.0294435887274268,,,1
17/10/2014 00:00:00,0.0325180643820853,,,1
18/10/2014 00:00:00,0.0567689705493978,,,1
19/10/2014 00:00:00,0.0525363018722377,,,1
20/10/2014 00:00:00,0.0428951476732274,,,1
21/10/2014 00:00:00,0.0365905320629934,,,1
22/10/2014 00:00:00,0.0321279470065249,,,1
23/10/2014 00:00:00,0.0264999215331655,,,1
24/10/2014 00:00:00,0.0430267760496491,,,1
25/10/2014 00:00:00,0.0079402605714135,,,1
26/10/2014 00:00:00,0.0221444316016095,,,1
27/10/2014 00:00:00,0.0229871543168683,,,1
28/10/2014 00:00:00,0.0131850280582705,,,1
29/10/2014 00:00:00,0.0110320410026926,,,1
30/10/2014 00:00:00,0.00891984700703168,,,1
31/10/2014 00:00:00,0.00673218200732341,,,1
01/11/2014 00:00:00,0.00722619022037612,,,1
02/11/2014 00:00:00,0.00997841069537737,,,1
03/11/2014 00:00:00,0.00999697953004122,,,1
04/11/2014 00:00:00,0.00554172790833637,,,1
05/11/2014 00:00:00,,,,1
06/11/2014 00:00:00,,,,1
07/11/2014 00:00:00,,,,1
08/11/2014 00:00:00,,,,1
09/11/2014 00:00:00,,,,1
10/11/2014 00:00:00,,,,1
11/11/2014 00:00:00,,,,1
12/11/2014 00:00:00,,,,1
13/11/2014 00:00:00,,,,1
14/11/2014 00:00:00,,,,1
15/11/2014 00:00:00,,,,1
16/11/2014 00:00:00,,,,1
17/11/2014 00:00:00,,,,1
18/11/2014 00:00:00,,,,1
19/11/2014 00:00:00,,,,1
20/11/2014 00:00:00,,,,1
21/11/2014 00:00:00,,,,1
22/11/2014 00:00:00,,,,1
23/11/2014 00:00:00,,,,1
24/11/2014 00:00:00,,,,1
25/11/2014 00:00:00,,,,1
26/11/2014 00:00:00,,,,1
27/11/2014 00:00:00,,,,1
28/11/2014 00:00:00,,,,1
29/11/2014 00:00:00,,,,1
30/11/2014 00:00:00,,,,1
01/12/2014 00:00:00,,,,1
02/12/2014 00:00:00,,,,1
03/12/2014 00:00:00,,,,1
04/12/2014 00:00:00,,,,1
05/12/2014 00:00:00,,,,1
06/12/2014 00:00:00,,,,1
07/12/2014 00:00:00,,,,1
08/12/2014 00:00:00,,,,1
09/12/2014 00:00:00,,,,1
10/12/2014 00:00:00,,,,1
11/12/2014 00:00:00,,,,1
12/12/2014 00:00:00,,,,1
13/12/2014 00:00:00,,,,1
14/12/2014 00:00:00,,,,1
15/12/2014 00:00:00,,,,1
16/12/2014 00:00:00,,,,1
17/12/2014 00:00:00,,,,1
18/12/2014 00:00:00,,,,1
19/12/2014 00:00:00,,,,1
20/12/2014 00:00:00,,,,1
21/12/2014 00:00:00,,,,1
22/12/2014 00:00:00,,,,1
23/12/2014 00:00:00,,,,1
24/12/2014 00:00:00,,,,1
25/12/2014 00:00:00,,,,1
26/12/2014 00:00:00,,,,1
27/12/2014 00:00:00,,,,1
28/12/2014 00:00:00,,,,1
29/12/2014 00:00:00,,,,1
30/12/2014 00:00:00,,,,1
31/12/2014 00:00:00,,,,1
01/01/2015 00:00:00,,,,1
02/01/2015 00:00:00,,,,1
03/01/2015 00:00:00,,,,1
04/01/2015 00:00:00,,,,1
05/01/2015 00:00:00,,,,1
06/01/2015 00:00:00,,,,1
07/01/2015 00:00:00,,,,1
08/01/2015 00:00:00,,,,1
09/01/2015 00:00:00,,,,1
10/01/2015 00:00:00,,,,1
11/01/2015 00:00:00,,,,1
12/01/2015 00:00:00,,,,1
13/01/2015 00:00:00,,,,1
14/01/2015 00:00:00,,,,1
15/01/2015 00:00:00,,,,1
16/01/2015 00:00:00,,,,1
17/01/2015 00:00:00,,,,1
18/01/2015 00:00:00,,,,1
19/01/2015 00:00:00,,,,1
20/01/2015 00:00:00,,,,1
21/01/2015 00:00:00,,,,1
22/01/2015 00:00:00,,,,1
23/01/2015 00:00:00,,,,1
24/01/2015 00:00:00,,,,1
25/01/2015 00:00:00,,,,1
26/01/2015 00:00:00,,,,1
27/01/2015 00:00:00,,,,1
28/01/2015 00:00:00,,,,1
29/01/2015 00:00:00,,,,1
30/01/2015 00:00:00,,,,1
31/01/2015 00:00:00,,,,1
01/02/2015 00:00:00,,,,1
02/02/2015 00:00:00,,,,1
03/02/2015 00:00:00,,,,1
04/02/2015 00:00:00,,,,1
05/02/2015 00:00:00,,,,1
06/02/2015 00:00:00,,,,1
07/02/2015 00:00:00,,,,1
08/02/2015 00:00:00,,,,1
09/02/2015 00:00:00,,,,1
10/02/2015 00:00:00,,,,1
11/02/2015 00:00:00,,,,1
12/02/2015 00:00:00,,,,1
13/02/2015 00:00:00,,,,1
14/02/2015 00:00:00,,,,1
15/02/2015 00:00:00,,,,1
16/02/2015 00:00:00,,,,1
17/02/2015 00:00:00,,,,1
18/02/2015 00:00:00,,,,1
19/02/2015 00:00:00,,,,1
20/02/2015 00:00:00,,,,1
21/02/2015 00:00:00,,,,1
22/02/2015 00:00:00,,,,1
23/02/2015 00:00:00,,,,1
24/02/2015 00:00:00,,,,1
25/02/2015 00:00:00,,,,1
26/02/2015 00:00:00,,,,1
27/02/2015 00:00:00,,,,1
28/02/2015 00:00:00,,,,1
01/03/2015 00:00:00,,,,1
02/03/2015 00:00:00,,,,1
03/03/2015 00:00:00,,,,1
04/03/2015 00:00:00,,,,1
05/03/2015 00:00:00,0,,,1
06/03/2015 00:00:00,0.00381920561705383,,,1
07/03/2015 00:00:00,0.0112513583698601,,,1
08/03/2015 00:00:00,0.0228300181784296,,,1
09/03/2015 00:00:00,0.0397244574734073,,,1
10/03/2015 00:00:00,0.0817059529624231,,,1
11/03/2015 00:00:00,0.260600266626955,,,1
12/03/2015 00:00:00,0.771697440908128,,,1
13/03/2015 00:00:00,2.06340750348502,,,1
14/03/2015 00:00:00,4.07483644571794,,,1
