site_code_long,date_ymd,Year,dist_km,chla_ug.L,turb_field_NTU,secchi_depth_m,ext_coeff_m,site_abbr1
Opposite South Lake,2017-09-12,2017,8.986355671435067,NA,NA,NA,NA,B9.0
Below Causeway,2017-09-12,2017,5.241088960153036,NA,NA,NA,NA,B5.2
Lake Inflow,2017-09-12,2017,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2017-09-12,2017,3.75,NA,NA,NA,NA,B3.8
Below Causeway,2018-03-20,2018,5.241088960153036,NA,NA,NA,NA,B5.2
Opposite Parkview,2018-03-20,2018,19.80560678134186,NA,NA,NA,NA,B19.8
Opposite South Lake,2018-03-20,2018,8.986355671435067,NA,NA,NA,NA,B9.0
Above Outlet,2018-03-20,2018,29.08531002246053,NA,NA,NA,NA,B29.1
WTP Intake,2018-03-20,2018,25.24193885742915,NA,NA,NA,NA,B25.2
Opposite Sun Valley,2018-03-20,2018,13.012424221331809,NA,NA,NA,NA,B13.0
Lake Inflow,2018-03-20,2018,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2018-03-20,2018,3.75,NA,NA,NA,NA,B3.8
Opposite Sun Valley,2018-05-23,2018,13.012424221331809,NA,NA,NA,NA,B13.0
Opposite South Lake,2018-05-23,2018,8.986355671435067,NA,NA,NA,NA,B9.0
Opposite Parkview,2018-05-23,2018,19.80560678134186,NA,NA,NA,NA,B19.8
Above Outlet,2018-05-23,2018,29.08531002246053,NA,NA,NA,NA,B29.1
WTP Intake,2018-05-23,2018,25.24193885742915,NA,NA,NA,NA,B25.2
Below Causeway,2018-05-23,2018,5.241088960153036,NA,NA,NA,NA,B5.2
Lake Inflow,2018-05-23,2018,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2018-05-23,2018,3.75,NA,NA,NA,NA,B3.8
Above Outlet,2018-06-19,2018,29.08531002246053,NA,NA,NA,NA,B29.1
WTP Intake,2018-06-19,2018,25.24193885742915,NA,NA,NA,NA,B25.2
Opposite Parkview,2018-06-19,2018,19.80560678134186,NA,NA,NA,NA,B19.8
Opposite South Lake,2018-06-19,2018,8.986355671435067,NA,NA,NA,NA,B9.0
Opposite Sun Valley,2018-06-19,2018,13.012424221331809,NA,NA,NA,NA,B13.0
Below Causeway,2018-06-19,2018,5.241088960153036,NA,NA,NA,NA,B5.2
Lake Inflow,2018-06-19,2018,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2018-06-19,2018,3.75,NA,NA,NA,NA,B3.8
WTP Intake,2018-07-17,2018,25.24193885742915,NA,NA,NA,NA,B25.2
Above Outlet,2018-07-17,2018,29.08531002246053,NA,NA,NA,NA,B29.1
Opposite South Lake,2018-07-17,2018,8.986355671435067,NA,NA,NA,NA,B9.0
Opposite Parkview,2018-07-17,2018,19.80560678134186,NA,NA,NA,NA,B19.8
Opposite Sun Valley,2018-07-17,2018,13.012424221331809,NA,NA,NA,NA,B13.0
Lake Inflow,2018-07-17,2018,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2018-07-17,2018,3.75,NA,NA,NA,NA,B3.8
Above Outlet,2018-08-21,2018,29.08531002246053,NA,NA,NA,NA,B29.1
Below Causeway,2018-08-21,2018,5.241088960153036,NA,NA,NA,NA,B5.2
Opposite Sun Valley,2018-08-21,2018,13.012424221331809,NA,NA,NA,NA,B13.0
WTP Intake,2018-08-21,2018,25.24193885742915,NA,NA,NA,NA,B25.2
Opposite Parkview,2018-08-21,2018,19.80560678134186,NA,NA,NA,NA,B19.8
Lake Inflow,2018-08-21,2018,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2018-08-21,2018,3.75,NA,NA,NA,NA,B3.8
Opposite South Lake,2018-09-27,2018,8.986355671435067,NA,NA,NA,NA,B9.0
Opposite Parkview,2018-09-27,2018,19.80560678134186,NA,NA,NA,NA,B19.8
Below Causeway,2018-09-27,2018,5.241088960153036,NA,NA,NA,NA,B5.2
Opposite Sun Valley,2018-09-27,2018,13.012424221331809,NA,NA,NA,NA,B13.0
WTP Intake,2018-09-27,2018,25.24193885742915,NA,NA,NA,NA,B25.2
Above Outlet,2018-09-27,2018,29.08531002246053,NA,NA,NA,NA,B29.1
Lake Inflow,2018-09-27,2018,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2018-09-27,2018,3.75,NA,NA,NA,NA,B3.8
Above Outlet,2019-04-22,2019,29.08531002246053,6.79,2.65,1.15,1.031,B29.1
Opposite Sun Valley,2019-04-22,2019,13.012424221331809,9.59,0.8,2,0.879,B13.0
WTP Intake,2019-04-22,2019,25.24193885742915,3.99,0.38,2.6,0.738,B25.2
Opposite Parkview,2019-04-22,2019,19.80560678134186,3.99,0.4,2.4,0.533,B19.8
Opposite South Lake,2019-04-22,2019,8.986355671435067,10.77,1.34,1.65,0.686,B9.0
Below Causeway,2019-04-22,2019,5.241088960153036,11.36,4.5,0.85,1.208,B5.2
Lake Inflow,2019-04-22,2019,1.71,45.306666666666665,14.4,0.3433333333333333,2.6243333333333334,B1.7
Upstream Causeway,2019-04-22,2019,3.75,11.36,4.72,0.75,1.2275,B3.8
Opposite Sun Valley,2019-05-28,2019,13.012424221331809,5.76,0.77,2.2,0.452,B13.0
Opposite South Lake,2019-05-28,2019,8.986355671435067,7.46,1.03,2.16,0.669,B9.0
Opposite Parkview,2019-05-28,2019,19.80560678134186,2.76,0.68,2.85,0.566,B19.8
WTP Intake,2019-05-28,2019,25.24193885742915,4.16,0.6,3.58,0.535,B25.2
Below Causeway,2019-05-28,2019,5.241088960153036,5.17,2.4,1.45,0.886,B5.2
