"","Site","region","ex.50","H.ex.50","canopy","H.CLs_n.meq","CLs_n.meq","CLs.meq","H.CLs.meq","Sdep","Sdep.meq","g.m2013.S_eq.ha","g.m2013.N_eq.ha","SNdep.meq","s.exceed","sn.exceed","Ndep","Ndep.meq","s.exceed.H","sn.exceed.H."
"164","E13-02","MBU",10.20993904,2.256795063,"white spruce",55.22665958,72.48763674,58.61324663,47.29684292,111.5479126,11.15479126,111.5479126,55.74179459,16.72897072,47.45845537,57.66839441,55.7417945862,5.57417945862,36.14205166,38.398846723
"165","E14-01","MBU",9.561756135,2.481306191,"jack pine",50.26196187,66.38183955,50.33225923,39.31621713,153.3419037,15.33419037,153.3419037,83.98532867,23.73272324,34.99806886,44.559824995,83.9853286743,8.39853286743,23.98202676,26.463332951
"166","E14-02","MBU",9.449200632,2.283730125,"jack pine",47.43614686,63.61382817,47.56424785,36.49040212,125.8144531,12.58144531,125.8144531,86.15288544,21.19673386,34.98280254,44.432003172,86.152885437,8.6152885437,23.90895681,26.192686935
"167","E15-01","MBU",7.787819049,-0.293274999,"white spruce",180.4156495,197.2174772,183.3430871,172.4563643,106.8786926,10.68786926,106.8786926,81.26274109,18.81414337,172.65521784,180.443036889,81.2627410889,8.12627410889,161.76849504,161.475220041
"168","E15-02","MBU",17.0658752,7.026457261,"trembling aspen",1116.976996,1161.854026,1137.664701,1100.729331,117.2711792,11.72711792,117.2711792,91.3766861,20.86478653,1125.93758308,1143.00345828,91.3766860962,9.13766860962,1089.00221308,1096.028670341
"169","E15-03","MBU",17.49728952,7.237866644,"trembling aspen",326.2145713,371.3924642,347.2031387,309.9669062,111.3378448,11.13378448,111.3378448,88.50360107,19.98414459,336.06935422,353.56664374,88.5036010742,8.85036010742,298.83312172,306.070988364
"170","E16-01","MBU",14.45135744,4.503410496,"trembling aspen",347.8173744,392.8675112,368.6781858,331.5697093,119.1068192,11.91068192,119.1068192,116.5094986,23.56163177,356.76750388,371.21886132,116.5094985962,11.65094985962,319.65902738,324.162437876
"171","E16-02","MBU",15.64768072,5.601005554,"trembling aspen",221.4840138,266.6722659,242.4829404,205.2363487,106.9512558,10.69512558,106.9512558,104.5120621,21.14633179,231.78781482,247.43549554,104.5120620728,10.45120620728,194.54122312,200.142228674
"172","E16-03","MBU",16.14504799,6.374653398,"trembling aspen",469.4315185,514.42232,490.2329945,453.1838534,110.1210403,11.01210403,110.1210403,98.73836517,20.88594055,479.22089047,495.36593846,98.7383651733,9.87383651733,442.17174937,448.546402768
"173","E17-01","MBU",13.1414045,3.267295999,"trembling aspen",240.128017,285.3770606,261.1877352,223.8803519,112.943222,11.2943222,112.943222,129.129715,24.2072937,249.893413,263.0348175,129.1297149658,12.91297149658,212.5860297,215.853325699
"174","E17-02","MBU",6.405576735,-0.765262428,"jack pine",340.9282945,356.6742147,340.6246344,329.8738514,111.5754166,11.15754166,111.5754166,116.7040024,22.82794189,329.46709274,335.872669475,116.7040023804,11.67040023804,318.71630974,317.951047312
"175","E18-01","MBU",8.608932734,0.530035633,"white spruce",348.471592,365.1629384,351.2885483,340.5417753,97.44571686,9.744571686,97.44571686,72.92560577,17.03713226,341.543976614,350.152909348,72.9256057739,7.29256057739,330.797203614,331.327239247
"176","E19-01","MBU",12.4962914,5.217260087,"jack pine",101.5947912,117.7210738,101.6714934,90.64904642,102.0092773,10.20092773,102.0092773,56.65642548,15.86657028,91.47056567,103.96685707,56.6564254761,5.66564254761,80.44811869,85.665378777
"177","E20-01","MBU",20.63849018,NA,"black spruce",357.9692562,355.9342562,331.0083364,NA,92.75639343,9.275639343,92.75639343,61.69091797,15.44473114,321.732697057,342.371187237,61.6909179688,6.16909179688,NA,NA
"178","E20-02","MBU",20.11938571,10.11328177,"trembling aspen",320.4172681,365.663246,341.4739206,304.169603,88.02622223,8.802622223,88.02622223,60.53166962,14.85578918,332.671298377,352.790684087,60.5316696167,6.05316696167,295.366980777,305.480262547
"179","E20-03","MBU",21.2813974,11.0025039,"trembling aspen",335.0467642,380.2768643,356.0875388,318.7990991,104.8741608,10.48741608,104.8741608,51.74478531,15.66189461,345.60012272,366.88152012,51.7447853088,5.17447853088,308.31168302,319.31418692
"180","E21-01","MBU",18.11322105,8.009206601,"trembling aspen",127.7360065,173.2554509,149.0661254,111.4883414,101.424881,10.1424881,101.424881,80.57113647,18.19960175,138.9236373,157.03685835,80.5711364746,8.05711364746,101.3458533,109.355059901
"181","E21-02","MBU",10.42205598,3.2684654,"jack pine",177.7342996,193.6708628,177.6212825,166.7885549,101.352356,10.1352356,101.352356,75.3003006,17.66526566,167.4860469,177.90810288,75.3003005981,7.53003005981,156.6533193,159.9217847
"182","E22-01","MBU",8.258201213,1.079677276,"jack pine",593.8055732,609.634913,593.5853327,582.8598284,106.6227798,10.66227798,106.6227798,98.35836792,20.49811478,582.92305472,591.181255933,98.3583679199,9.83583679199,572.19755042,573.277227696
"183","E22-02","MBU",16.45109779,6.579327495,"trembling aspen",401.4034169,446.4390834,422.2497579,385.1557517,106.0803604,10.60803604,106.0803604,94.67896271,20.07593231,411.64172186,428.09281965,94.6789627075,9.46789627075,374.54771566,381.127043155
"184","E23-01","MBU",12.31163496,4.979991804,"jack pine",142.5208886,158.5744502,142.5248699,131.5751438,77.4826889,7.74826889,77.4826889,58.44971085,13.59323997,134.77660101,147.08823597,58.4497108459,5.84497108459,123.82687491,128.806866714
"185","E24-01","MBU",11.93844996,4.644801068,"jack pine",100.704424,116.8209221,100.7713418,89.75867925,95.30779266,9.530779266,95.30779266,62.88567734,15.819347,91.240562534,103.179012494,62.8856773376,6.28856773376,80.227899984,84.872701052
"186","E24-02","MBU",19.81248483,NA,"black spruce",491.702476,489.667476,464.7415562,NA,91.43247986,9.143247986,91.43247986,70.85668182,16.22891617,455.598308214,475.410793044,70.8566818237,7.08566818237,NA,NA
"187","E24-03","MBU",10.2832662,3.136120835,"jack pine",49.55482876,65.94089364,49.89131332,38.60908402,93.86325073,9.386325073,93.86325073,77.80719757,17.16704483,40.504988247,50.788254447,77.8071975708,7.78071975708,29.222758947,32.358879782
"188","E25-01","MBU",2.385340046,-4.789594392,"jack pine",105.2755716,120.4865398,104.4369595,93.63186392,114.6782303,11.46782303,114.6782303,155.9883118,27.06665421,92.96913647,95.354476516,155.9883117676,15.59883117676,82.16404089,77.374446498
"189","E26-01","MBU",10.67816907,0.776382652,"trembling aspen",667.1438523,712.0656971,687.8763716,650.8961871,111.6528168,11.16528168,111.6528168,154.6927795,26.63455963,676.71108992,687.38925899,154.692779541,15.4692779541,639.73090542,640.507288072
"190","E27-01","MBU",18.20377909,8.420353035,"trembling aspen",208.8560689,254.2140998,230.0247743,192.6084038,126.4810181,12.64810181,126.4810181,77.44361877,20.39246368,217.37667249,235.58045158,77.4436187744,7.74436187744,179.96030199,188.380655025
"191","E27-02","MBU",17.42074926,7.670966229,"trembling aspen",165.2720066,210.6142174,186.424892,149.0243415,145.360321,14.5360321,145.360321,86.29077148,23.16510925,171.8888599,189.30960916,86.2907714844,8.62907714844,134.4883094,142.159275629
"192","E27-03","MBU",15.45560488,5.396290381,"trembling aspen",60.25384001,68.19550034,44.00617489,44.00617489,205.6328888,20.56328888,205.6328888,107.9983902,31.3631279,23.44288601,38.89849089,107.9983901978,10.79983901978,23.44288601,28.839176391
"193","E29-01","MBU",12.76975059,3.206671318,"trembling aspen",2648.108913,2692.88502,2668.695694,2631.861247,113.56884,11.356884,113.56884,130.0631256,24.36319656,2657.33881,2670.10856059,130.0631256104,13.00631256104,2620.504363,2623.711034318
"194","E29-02","MBU",13.68913564,3.496166503,"trembling aspen",101.3182784,147.6438126,123.4544871,85.07061332,130.5690002,13.05690002,130.5690002,127.401825,25.79708252,110.39758708,124.08672272,127.4018249512,12.74018249512,72.0137133,75.509879803
"195","E30-01","MBU",9.227588733,-0.88578592,"trembling aspen",106.8555269,152.8136022,128.6242768,90.49427565,130.1636353,13.01636353,130.1636353,170.049057,30.02126923,115.60791327,124.835502003,170.0490570068,17.00490570068,77.47791212,76.5921262
"196","E30-02","MBU",7.829600257,-2.1375858,"trembling aspen",232.3881525,277.3791397,253.1898142,215.8336881,150.5500641,15.05500641,150.5500641,182.9299316,33.34799957,238.13480779,245.964408047,182.9299316406,18.29299316406,200.77868169,198.64109589
