"","Site","region","ex.50","H.ex.50","canopy","H.CLs_n.meq","CLs_n.meq","CLs.meq","H.CLs.meq","Sdep","Sdep.meq","g.m2013.S_eq.ha","g.m2013.N_eq.ha","SNdep.meq","s.exceed","sn.exceed","Ndep","Ndep.meq"
"29","C03-01","AP",12.59913448,NA,"black spruce",30.87709537,30.13509537,15.39351466,15.39351466,109.7157974,10.97157974,109.7157974,28.77335358,13.8489151,4.42193492,17.0210694,28.7733535767,2.87733535767
"30","C03-02","AP",5.126448479,0.86733187,"jack pine",20.95105583,24.51144414,15.99637513,15.99637513,102.9312134,10.29312134,102.9312134,41.10318756,14.40344009,5.70325379,10.829702269,41.103187561,4.1103187561
"31","C03-03","AP",6.440611852,2.087417303,"jack pine",20.1756374,23.73602571,15.2209567,15.2209567,88.26522827,8.826522827,88.26522827,28.39730072,11.6662529,6.394433873,12.835045725,28.3973007202,2.83973007202
"32","C03-04","AP",5.6717898,1.366000056,"jack pine",20.21091765,23.77130595,15.25623694,15.25623694,94.01728058,9.401728058,94.01728058,35.75585938,12.977314,5.854508882,11.526298682,35.755859375,3.5755859375
"33","C03-05","AP",5.687645434,1.411271782,"jack pine",19.86449377,23.42488207,14.90981307,14.90981307,89.26345062,8.926345062,89.26345062,35.55679321,12.48202438,5.983468008,11.671113442,35.5567932129,3.55567932129
"34","C03-06","AP",4.588871613,0.321812403,"jack pine",22.54058357,26.10097187,17.58590287,17.58590287,163.0803528,16.30803528,163.0803528,46.60759735,20.96879501,1.27786759,5.866739203,46.6075973511,4.66075973511
"35","C04-01","AP",12.4394733,NA,"black spruce",29.64961067,28.90761067,14.16602995,14.16602995,101.1916962,10.11916962,101.1916962,31.45852089,13.26502171,4.04686033,16.48633363,31.4585208893,3.14585208893
"36","C04-02","AP",6.566162982,2.243916066,"jack pine",18.71915229,22.2795406,13.76447159,13.76447159,90.0528183,9.00528183,90.0528183,26.87768555,11.69305038,4.75918976,11.325352742,26.8776855469,2.68776855469
"37","C04-03","AP",6.040655023,1.80584965,"jack pine",18.01353732,21.57392562,13.05885662,13.05885662,92.36183167,9.236183167,92.36183167,31.83803749,12.41998692,3.822673453,9.863328476,31.8380374908,3.18380374908
"38","C04-04","AP",5.694947118,1.375622685,"jack pine",19.50260321,23.06299152,14.54792251,14.54792251,97.19169617,9.719169617,97.19169617,35.70878601,13.29004822,4.828752893,10.523700011,35.7087860107,3.57087860107
"39","C04-05","AP",5.884640534,1.383688222,"jack pine",18.95037945,22.51076776,13.99569875,13.99569875,91.65695953,9.165695953,91.65695953,35.36813736,12.70250969,4.830002797,10.714643331,35.3681373596,3.53681373596
"40","C04-06","AP",11.73405762,NA,"black spruce",29.49658279,28.75458279,14.01300208,14.01300208,93.42618561,9.342618561,93.42618561,36.62983322,13.00560188,4.670383519,16.404441139,36.6298332214,3.66298332214
"41","C05-01","AP",6.629604372,2.351801341,"jack pine",18.89627982,22.45666812,13.94159912,13.94159912,77.19194031,7.719194031,77.19194031,26.2404232,10.34323635,6.222405089,12.852009461,26.2404232025,2.62404232025
"42","C05-02","AP",6.01645422,1.64883584,"jack pine",18.89355422,22.45394252,13.93887352,13.93887352,76.41416168,7.641416168,76.41416168,32.93943405,10.93535957,6.297457352,12.313911572,32.9394340515,3.29394340515
"43","C05-03","AP",12.46324816,NA,"black spruce",29.11946553,28.37746553,13.63588481,13.63588481,74.14078522,7.414078522,74.14078522,29.48505783,10.3625843,6.221806288,18.685054448,29.4850578308,2.94850578308
"44","C05-04","AP",6.209598211,1.925296321,"jack pine",18.18736695,21.74775525,13.23268624,13.23268624,86.88299561,8.688299561,86.88299561,30.48262405,11.73656197,4.544386679,10.75398489,30.482624054,3.0482624054
"45","C06-01","AP",6.920230856,2.726342495,"jack pine",19.27366301,22.83405131,14.31898231,14.31898231,77.02490234,7.702490234,77.02490234,22.48386192,9.950876427,6.616492076,13.536722932,22.4838619232,2.24838619232
"46","C06-02","AP",6.81773052,2.486301031,"jack pine",18.61300634,22.17339464,13.65832564,13.65832564,87.4864502,8.74864502,87.4864502,24.26934052,11.17557907,4.90968062,11.72741114,24.2693405151,2.42693405151
"47","C06-03","AP",6.709951201,2.387000436,"jack pine",18.61965606,22.18004436,13.66497536,13.66497536,98.99344635,9.899344635,98.99344635,25.52956772,12.45230141,3.765630725,10.475581926,25.5295677185,2.55295677185
"48","C06-04","AP",6.212634046,1.997376906,"jack pine",25.85281066,29.41319897,20.89812996,20.89812996,79.23177338,7.923177338,79.23177338,29.64051056,10.88722839,12.974952622,19.187586668,29.6405105591,2.96405105591
