"","Year","month","day","date","40 cms threshold_uniform demand_lower bound.cms","40 cms threshold_uniform demand_upper bound.cms","40 cms threshold_allocation demand_lower bound.cms","40 cms threshold_allocation demand_upper bound.cms","40 cms threshold_WRMM demand_lower bound.cms","40 cms threshold_WRMM demand_upper bound.cms","50 cms threshold_uniform demand_lower bound.cms","50 cms threshold_uniform demand_upper bound.cms","50 cms threshold_allocation demand_lower bound.cms","50 cms threshold_allocation demand_upper bound.cms","50 cms threshold_WRMM demand_lower bound.cms","50 cms threshold_WRMM demand_upper bound.cms","60 cms threshold_uniform demand_lower bound.cms","60 cms threshold_uniform demand_upper bound.cms","60 cms threshold_allocation demand_lower bound.cms","60 cms threshold_allocation demand_upper bound.cms","60 cms threshold_WRMM demand_lower bound.cms","60 cms threshold_WRMM demand_upper bound.cms"
"53",2001,2,22,2001-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",2001,2,23,2001-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",2001,2,24,2001-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",2001,2,25,2001-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",2001,2,26,2001-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",2001,2,27,2001-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",2001,2,28,2001-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",2001,3,1,2001-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",2001,3,2,2001-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",2001,3,3,2001-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",2001,3,4,2001-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",2001,3,5,2001-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",2001,3,6,2001-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",2001,3,7,2001-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",2001,3,8,2001-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",2001,3,9,2001-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",2001,3,10,2001-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",2001,3,11,2001-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",2001,3,12,2001-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",2001,3,13,2001-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",2001,3,14,2001-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",2001,3,15,2001-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",2001,3,16,2001-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",2001,3,17,2001-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",2001,3,18,2001-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",2001,3,19,2001-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",2001,3,20,2001-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",2001,3,21,2001-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",2001,3,22,2001-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",2001,3,23,2001-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",2001,3,24,2001-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",2001,3,25,2001-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",2001,3,26,2001-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",2001,3,27,2001-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",2001,3,28,2001-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",2001,3,29,2001-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",2001,3,30,2001-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",2001,3,31,2001-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",2001,4,1,2001-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",2001,4,2,2001-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",2001,4,3,2001-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",2001,4,4,2001-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",2001,4,5,2001-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",2001,4,6,2001-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",2001,4,7,2001-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",2001,4,8,2001-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",2001,4,9,2001-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",2001,4,10,2001-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",2001,4,11,2001-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",2001,4,12,2001-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",2001,4,13,2001-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",2001,4,14,2001-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",2001,4,15,2001-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",2001,4,16,2001-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",2001,4,17,2001-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",2001,4,18,2001-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",2001,4,19,2001-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
