station.number,station.name,latitude,longitude,date.time_yyyy.mm.dd.hh.mm.ss,sample.depth_m,chlorophyll.a_ug.L,TSS_mg.L,turbidity.field_NTU,turbidity.lab_NTU,secchi.depth_m,PAR.extinction_per.m,lake.depth_m
SK05JG0104,BUFFALO POUND LK.-0.5MI.ABOVE OUTLET FROM BPL @MID,50.57318,-105.34174,2017-08-09T10:20:00Z,0.5,44.02,15,20,26,0.53,4.05,2.5
SK05JG0098,BUFFALO POUND LK.-10MI.BELOW CAUSEWAY OPP.PROV.PK.,50.6178,-105.44383,2017-08-09T10:50:00Z,1,75.03,11,18,20,0.57,2.416,4.7
SK05JG0096,BUFFALO POUND LK.-OPP. SUN VALLEY;OPP.ENTRANCE RD.,50.65615,-105.52058,2017-08-09T11:15:00Z,1,50.7,10,12,21,0.8,1.957,4.17
SK05JG0095,BUFFALO POUND LK.-3MI. BELOW CAUSEWAY;OPP.START OF,50.68295,-105.5591,2017-08-09T11:40:00Z,1,60.08,10,18,29,0.7,2.249,3.87
SK05JG0094,BUFFALO POUND LK.-0.5MI. BELOW CAUSEWAY; OPP.,50.71159,-105.58777,2017-08-09T12:00:00Z,1,47.86,15,17,29,0.8,2.389,3.05
SK05JG0222,BUFFALO POUND LK.-UPSTRM OF CSWY W. SIDE (SWA),50.72074,-105.60694,2017-08-09T12:20:00Z,1,4.52,NA,1.5,1.4,NA,1.082,2.04
SK05JG0223,BUFFALO POUND LK.-UPSTRM OF CSWY E. SIDE (SWA),50.72217,-105.59931,2017-08-09T12:50:00Z,1,9.05,1,1.8,1.3,NA,0.894,2.19
SK05JG0225,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE E. (SWA),50.73632,-105.62371,2017-08-09T13:15:00Z,0.5,8.94,17,17,9.3,0.45,2.095,1.67
SK05JG0220,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE R. (SWA),50.73569,-105.62639,2017-08-09T13:30:00Z,0.5,2.37,4,4.4,3.2,1.2,NA,1.55
SK05JG0224,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE W. (SWA),50.73463,-105.62926,2017-08-09T13:45:00Z,0.1,6.68,2,0.5,0.98,NA,NA,1.3
