var_name,bands,bands2
DOC and sulphate,2,
DOC and sulphate,3,
DOC and sulphate,,8
DOC and sulphate,,120
DOC and TP,2,
DOC and TP,60,
DOC and SRP,27,
DOC and SRP,50,
DOC and organic N,2,
DOC and organic N,120,
DOC and nitrate,3,
DOC and nitrate,20,
