BUFFALO POUND LAKE AT PUMPING STATION,,Average Daily ,,Stage
Data Start Time,1/1/2011 0:00,,,
Data End Time,31/12/2014 11:59:00 PM,,,
Time Stamp,,,m,
1/1/2011 0:00,,,509.34,
2/1/2011 0:00,,,509.341,
3/1/2011 0:00,,,509.34,
4/1/2011 0:00,,,509.341,
5/1/2011 0:00,,,509.342,
6/1/2011 0:00,,,509.344,
7/1/2011 0:00,,,509.347,
8/1/2011 0:00,,,509.346,
9/1/2011 0:00,,,509.352,
10/1/2011 0:00,,,509.356,
11/1/2011 0:00,,,509.356,
12/1/2011 0:00,,,509.355,
13/01/2011 12:00:00 AM,,,509.359,
14/01/2011 12:00:00 AM,,,509.363,
15/01/2011 12:00:00 AM,,,509.363,
16/01/2011 12:00:00 AM,,,509.362,
17/01/2011 12:00:00 AM,,,509.362,
18/01/2011 12:00:00 AM,,,509.36,
19/01/2011 12:00:00 AM,,,509.358,
20/01/2011 12:00:00 AM,,,509.355,
21/01/2011 12:00:00 AM,,,509.354,
22/01/2011 12:00:00 AM,,,509.353,
23/01/2011 12:00:00 AM,,,509.35,
24/01/2011 12:00:00 AM,,,509.347,
25/01/2011 12:00:00 AM,,,509.343,
26/01/2011 12:00:00 AM,,,509.341,
27/01/2011 12:00:00 AM,,,509.338,
28/01/2011 12:00:00 AM,,,509.336,
29/01/2011 12:00:00 AM,,,509.333,
30/01/2011 12:00:00 AM,,,509.33,
31/01/2011 12:00:00 AM,,,509.329,
1/2/2011 0:00,,,509.324,
2/2/2011 0:00,,,509.322,
3/2/2011 0:00,,,509.317,
4/2/2011 0:00,,,509.314,
5/2/2011 0:00,,,509.315,
6/2/2011 0:00,,,509.313,
7/2/2011 0:00,,,509.31,
8/2/2011 0:00,,,509.306,
9/2/2011 0:00,,,509.302,
10/2/2011 0:00,,,509.298,
11/2/2011 0:00,,,509.295,
12/2/2011 0:00,,,509.291,
13/02/2011 12:00:00 AM,,,509.287,
14/02/2011 12:00:00 AM,,,509.283,
15/02/2011 12:00:00 AM,,,509.28,
16/02/2011 12:00:00 AM,,,509.277,
17/02/2011 12:00:00 AM,,,509.277,
18/02/2011 12:00:00 AM,,,509.274,
19/02/2011 12:00:00 AM,,,509.272,
20/02/2011 12:00:00 AM,,,509.267,
21/02/2011 12:00:00 AM,,,509.262,
22/02/2011 12:00:00 AM,,,509.26,
23/02/2011 12:00:00 AM,,,509.256,
24/02/2011 12:00:00 AM,,,509.252,
25/02/2011 12:00:00 AM,,,509.247,
26/02/2011 12:00:00 AM,,,509.242,
27/02/2011 12:00:00 AM,,,509.24,
28/02/2011 12:00:00 AM,,,509.238,
1/3/2011 0:00,,,509.234,
2/3/2011 0:00,,,509.229,
3/3/2011 0:00,,,509.225,
4/3/2011 0:00,,,509.221,
5/3/2011 0:00,,,509.217,
6/3/2011 0:00,,,509.215,
7/3/2011 0:00,,,509.21,
8/3/2011 0:00,,,509.206,
9/3/2011 0:00,,,509.201,
10/3/2011 0:00,,,509.196,
11/3/2011 0:00,,,509.195,
12/3/2011 0:00,,,509.19,
13/03/2011 12:00:00 AM,,,509.184,
14/03/2011 12:00:00 AM,,,509.18,
15/03/2011 12:00:00 AM,,,509.176,
16/03/2011 12:00:00 AM,,,509.172,
17/03/2011 12:00:00 AM,,,509.171,
18/03/2011 12:00:00 AM,,,509.167,
19/03/2011 12:00:00 AM,,,509.165,
20/03/2011 12:00:00 AM,,,509.164,
21/03/2011 12:00:00 AM,,,509.162,
22/03/2011 12:00:00 AM,,,509.161,
23/03/2011 12:00:00 AM,,,509.158,
24/03/2011 12:00:00 AM,,,509.156,
25/03/2011 12:00:00 AM,,,509.154,
26/03/2011 12:00:00 AM,,,509.15,
27/03/2011 12:00:00 AM,,,509.147,
28/03/2011 12:00:00 AM,,,509.145,
29/03/2011 12:00:00 AM,,,509.142,
30/03/2011 12:00:00 AM,,,509.141,
31/03/2011 12:00:00 AM,,,509.139,
