BUFFALO POUND LAKE AT PUMPING STATION,,Average Daily ,,Stage
1/4/2011 0:00,,,509.139,
2/4/2011 0:00,,,509.144,
3/4/2011 0:00,,,509.16,
4/4/2011 0:00,,,509.172,
5/4/2011 0:00,,,509.2,
6/4/2011 0:00,,,509.24,
7/4/2011 0:00,,,509.291,
8/4/2011 0:00,,,509.378,
9/4/2011 0:00,,,509.539,
10/4/2011 0:00,,,509.821,
11/4/2011 0:00,,,510.121,
12/4/2011 0:00,,,510.413,
13/04/2011 12:00:00 AM,,,510.681,
14/04/2011 12:00:00 AM,,,510.9,
15/04/2011 12:00:00 AM,,,511.073,
16/04/2011 12:00:00 AM,,,511.149,
17/04/2011 12:00:00 AM,,,511.154,
18/04/2011 12:00:00 AM,,,511.143,
19/04/2011 12:00:00 AM,,,511.127,
20/04/2011 12:00:00 AM,,,511.109,
21/04/2011 12:00:00 AM,,,511.072,
22/04/2011 12:00:00 AM,,,511.026,
23/04/2011 12:00:00 AM,,,510.97,
24/04/2011 12:00:00 AM,,,510.91,
25/04/2011 12:00:00 AM,,,510.846,
26/04/2011 12:00:00 AM,,,510.784,
27/04/2011 12:00:00 AM,,,510.722,
28/04/2011 12:00:00 AM,,,510.663,
29/04/2011 12:00:00 AM,,,510.621,
30/04/2011 12:00:00 AM,,,510.569,
1/5/2011 0:00,,,510.468,
2/5/2011 0:00,,,510.38,
3/5/2011 0:00,,,510.297,
4/5/2011 0:00,,,510.269,
5/5/2011 0:00,,,510.164,
6/5/2011 0:00,,,510.108,
7/5/2011 0:00,,,510.005,
8/5/2011 0:00,,,509.933,
9/5/2011 0:00,,,509.854,
10/5/2011 0:00,,,509.778,
11/5/2011 0:00,,,509.75,
12/5/2011 0:00,,,509.73,
13/05/2011 12:00:00 AM,,,509.724,
14/05/2011 12:00:00 AM,,,509.709,
15/05/2011 12:00:00 AM,,,509.681,
16/05/2011 12:00:00 AM,,,509.619,
17/05/2011 12:00:00 AM,,,509.662,
18/05/2011 12:00:00 AM,,,509.651,
19/05/2011 12:00:00 AM,,,509.654,
20/05/2011 12:00:00 AM,,,509.646,
21/05/2011 12:00:00 AM,,,509.644,
22/05/2011 12:00:00 AM,,,509.637,
23/05/2011 12:00:00 AM,,,509.629,
24/05/2011 12:00:00 AM,,,509.624,
25/05/2011 12:00:00 AM,,,509.619,
26/05/2011 12:00:00 AM,,,509.57,
27/05/2011 12:00:00 AM,,,509.608,
28/05/2011 12:00:00 AM,,,509.621,
29/05/2011 12:00:00 AM,,,509.593,
30/05/2011 12:00:00 AM,,,509.59,
31/05/2011 12:00:00 AM,,,509.608,
1/6/2011 0:00,,,509.56,
2/6/2011 0:00,,,509.56,
3/6/2011 0:00,,,509.596,
4/6/2011 0:00,,,509.579,
5/6/2011 0:00,,,509.568,
6/6/2011 0:00,,,509.561,
7/6/2011 0:00,,,509.554,
8/6/2011 0:00,,,509.553,
9/6/2011 0:00,,,509.54,
10/6/2011 0:00,,,509.536,
11/6/2011 0:00,,,509.513,
12/6/2011 0:00,,,509.518,
13/06/2011 12:00:00 AM,,,509.532,
14/06/2011 12:00:00 AM,,,509.534,
15/06/2011 12:00:00 AM,,,509.541,
16/06/2011 12:00:00 AM,,,509.531,
17/06/2011 12:00:00 AM,,,509.539,
18/06/2011 12:00:00 AM,,,509.554,
19/06/2011 12:00:00 AM,,,509.557,
20/06/2011 12:00:00 AM,,,509.558,
21/06/2011 12:00:00 AM,,,509.558,
22/06/2011 12:00:00 AM,,,509.576,
23/06/2011 12:00:00 AM,,,509.581,
24/06/2011 12:00:00 AM,,,509.651,
25/06/2011 12:00:00 AM,,,509.728,
26/06/2011 12:00:00 AM,,,509.811,
27/06/2011 12:00:00 AM,,,509.876,
28/06/2011 12:00:00 AM,,,509.924,
29/06/2011 12:00:00 AM,,,509.981,
30/06/2011 12:00:00 AM,,,510.024,
1/7/2011 0:00,,,510.041,
2/7/2011 0:00,,,510.021,
3/7/2011 0:00,,,510.008,
4/7/2011 0:00,,,510.021,
5/7/2011 0:00,,,509.993,
6/7/2011 0:00,,,509.982,
7/7/2011 0:00,,,509.957,
8/7/2011 0:00,,,509.923,
9/7/2011 0:00,,,509.908,
10/7/2011 0:00,,,509.876,
11/7/2011 0:00,,,509.825,
12/7/2011 0:00,,,509.78,
13/07/2011 12:00:00 AM,,,509.736,
14/07/2011 12:00:00 AM,,,509.718,
15/07/2011 12:00:00 AM,,,509.716,
16/07/2011 12:00:00 AM,,,509.702,
17/07/2011 12:00:00 AM,,,509.691,
18/07/2011 12:00:00 AM,,,509.673,
19/07/2011 12:00:00 AM,,,509.685,
20/07/2011 12:00:00 AM,,,509.684,
21/07/2011 12:00:00 AM,,,509.688,
22/07/2011 12:00:00 AM,,,509.665,
23/07/2011 12:00:00 AM,,,509.665,
24/07/2011 12:00:00 AM,,,509.666,
25/07/2011 12:00:00 AM,,,509.652,
26/07/2011 12:00:00 AM,,,509.652,
27/07/2011 12:00:00 AM,,,509.671,
28/07/2011 12:00:00 AM,,,509.655,
29/07/2011 12:00:00 AM,,,509.635,
30/07/2011 12:00:00 AM,,,509.642,
31/07/2011 12:00:00 AM,,,509.616,
1/8/2011 0:00,,,509.631,
2/8/2011 0:00,,,509.609,
3/8/2011 0:00,,,509.611,
4/8/2011 0:00,,,509.606,
5/8/2011 0:00,,,509.591,
6/8/2011 0:00,,,509.569,
7/8/2011 0:00,,,509.593,
8/8/2011 0:00,,,509.6,
9/8/2011 0:00,,,509.569,
10/8/2011 0:00,,,509.563,
11/8/2011 0:00,,,509.565,
12/8/2011 0:00,,,509.572,
13/08/2011 12:00:00 AM,,,509.56,
14/08/2011 12:00:00 AM,,,509.552,
15/08/2011 12:00:00 AM,,,509.557,
16/08/2011 12:00:00 AM,,,509.586,
17/08/2011 12:00:00 AM,,,509.544,
18/08/2011 12:00:00 AM,,,509.554,
19/08/2011 12:00:00 AM,,,509.536,
20/08/2011 12:00:00 AM,,,509.525,
21/08/2011 12:00:00 AM,,,509.514,
22/08/2011 12:00:00 AM,,,509.512,
23/08/2011 12:00:00 AM,,,509.526,
24/08/2011 12:00:00 AM,,,509.494,
25/08/2011 12:00:00 AM,,,509.487,
26/08/2011 12:00:00 AM,,,509.481,
27/08/2011 12:00:00 AM,,,509.47,
28/08/2011 12:00:00 AM,,,509.472,
29/08/2011 12:00:00 AM,,,509.455,
30/08/2011 12:00:00 AM,,,509.454,
31/08/2011 12:00:00 AM,,,509.466,
1/9/2011 0:00,,,509.467,
2/9/2011 0:00,,,509.46,
3/9/2011 0:00,,,509.474,
4/9/2011 0:00,,,509.441,
5/9/2011 0:00,,,509.437,
6/9/2011 0:00,,,509.44,
7/9/2011 0:00,,,509.432,
8/9/2011 0:00,,,509.43,
9/9/2011 0:00,,,509.432,
10/9/2011 0:00,,,509.434,
11/9/2011 0:00,,,509.438,
12/9/2011 0:00,,,509.444,
13/09/2011 12:00:00 AM,,,509.437,
14/09/2011 12:00:00 AM,,,509.415,
15/09/2011 12:00:00 AM,,,509.379,
16/09/2011 12:00:00 AM,,,509.387,
17/09/2011 12:00:00 AM,,,509.409,
18/09/2011 12:00:00 AM,,,509.423,
19/09/2011 12:00:00 AM,,,509.419,
20/09/2011 12:00:00 AM,,,509.425,
21/09/2011 12:00:00 AM,,,509.41,
22/09/2011 12:00:00 AM,,,509.399,
23/09/2011 12:00:00 AM,,,509.415,
24/09/2011 12:00:00 AM,,,509.417,
25/09/2011 12:00:00 AM,,,509.417,
26/09/2011 12:00:00 AM,,,509.426,
27/09/2011 12:00:00 AM,,,509.417,
28/09/2011 12:00:00 AM,,,509.434,
29/09/2011 12:00:00 AM,,,509.414,
30/09/2011 12:00:00 AM,,,509.382,
1/10/2011 0:00,,,509.41,
2/10/2011 0:00,,,509.403,
3/10/2011 0:00,,,509.394,
4/10/2011 0:00,,,509.354,
5/10/2011 0:00,,,509.404,
6/10/2011 0:00,,,509.402,
7/10/2011 0:00,,,509.454,
8/10/2011 0:00,,,509.46,
9/10/2011 0:00,,,509.419,
10/10/2011 0:00,,,509.422,
11/10/2011 0:00,,,509.422,
12/10/2011 0:00,,,509.42,
13/10/2011 12:00:00 AM,,,509.426,
14/10/2011 12:00:00 AM,,,509.421,
15/10/2011 12:00:00 AM,,,509.413,
16/10/2011 12:00:00 AM,,,509.414,
17/10/2011 12:00:00 AM,,,509.417,
18/10/2011 12:00:00 AM,,,509.408,
19/10/2011 12:00:00 AM,,,509.38,
20/10/2011 12:00:00 AM,,,509.402,
21/10/2011 12:00:00 AM,,,509.413,
22/10/2011 12:00:00 AM,,,509.419,
23/10/2011 12:00:00 AM,,,509.415,
24/10/2011 12:00:00 AM,,,509.414,
25/10/2011 12:00:00 AM,,,509.422,
26/10/2011 12:00:00 AM,,,509.418,
27/10/2011 12:00:00 AM,,,509.418,
28/10/2011 12:00:00 AM,,,509.417,
29/10/2011 12:00:00 AM,,,509.415,
30/10/2011 12:00:00 AM,,,509.419,
31/10/2011 12:00:00 AM,,,509.428,
1/11/2011 0:00,,,509.432,
2/11/2011 0:00,,,509.421,
3/11/2011 0:00,,,509.42,
4/11/2011 0:00,,,509.434,
5/11/2011 0:00,,,509.436,
6/11/2011 0:00,,,509.477,
7/11/2011 0:00,,,509.448,
8/11/2011 0:00,,,509.444,
9/11/2011 0:00,,,509.448,
10/11/2011 0:00,,,509.435,
11/11/2011 0:00,,,509.436,
12/11/2011 0:00,,,509.442,
13/11/2011 12:00:00 AM,,,509.44,
14/11/2011 12:00:00 AM,,,509.444,
15/11/2011 12:00:00 AM,,,509.455,
16/11/2011 12:00:00 AM,,,509.444,
17/11/2011 12:00:00 AM,,,509.439,
18/11/2011 12:00:00 AM,,,509.447,
19/11/2011 12:00:00 AM,,,509.448,
20/11/2011 12:00:00 AM,,,509.449,
21/11/2011 12:00:00 AM,,,509.449,
22/11/2011 12:00:00 AM,,,509.451,
23/11/2011 12:00:00 AM,,,509.452,
24/11/2011 12:00:00 AM,,,509.455,
25/11/2011 12:00:00 AM,,,509.457,
26/11/2011 12:00:00 AM,,,509.46,
27/11/2011 12:00:00 AM,,,509.462,
28/11/2011 12:00:00 AM,,,509.465,
29/11/2011 12:00:00 AM,,,509.467,
30/11/2011 12:00:00 AM,,,509.47,
1/12/2011 0:00,,,509.469,
2/12/2011 0:00,,,509.473,
3/12/2011 0:00,,,509.475,
4/12/2011 0:00,,,509.479,
5/12/2011 0:00,,,509.473,
6/12/2011 0:00,,,509.472,
7/12/2011 0:00,,,509.47,
8/12/2011 0:00,,,509.468,
9/12/2011 0:00,,,509.465,
10/12/2011 0:00,,,509.46,
11/12/2011 0:00,,,509.458,
12/12/2011 0:00,,,509.456,
13/12/2011 12:00:00 AM,,,509.453,
14/12/2011 12:00:00 AM,,,509.452,
15/12/2011 12:00:00 AM,,,509.448,
16/12/2011 12:00:00 AM,,,509.446,
17/12/2011 12:00:00 AM,,,509.444,
18/12/2011 12:00:00 AM,,,509.444,
19/12/2011 12:00:00 AM,,,509.441,
20/12/2011 12:00:00 AM,,,509.442,
21/12/2011 12:00:00 AM,,,509.441,
22/12/2011 12:00:00 AM,,,509.436,
23/12/2011 12:00:00 AM,,,509.432,
24/12/2011 12:00:00 AM,,,509.43,
25/12/2011 12:00:00 AM,,,509.427,
26/12/2011 12:00:00 AM,,,509.431,
27/12/2011 12:00:00 AM,,,509.429,
28/12/2011 12:00:00 AM,,,509.427,
29/12/2011 12:00:00 AM,,,509.429,
30/12/2011 12:00:00 AM,,,509.428,
31/12/2011 12:00:00 AM,,,509.429,
1/1/2012 0:00,,,509.426,
2/1/2012 0:00,,,509.421,
3/1/2012 0:00,,,509.42,
4/1/2012 0:00,,,509.418,
5/1/2012 0:00,,,509.417,
6/1/2012 0:00,,,509.414,
7/1/2012 0:00,,,509.412,
8/1/2012 0:00,,,509.409,
9/1/2012 0:00,,,509.407,
10/1/2012 0:00,,,509.406,
11/1/2012 0:00,,,509.404,
12/1/2012 0:00,,,509.399,
13/01/2012 12:00:00 AM,,,509.397,
14/01/2012 12:00:00 AM,,,509.394,
15/01/2012 12:00:00 AM,,,509.397,
16/01/2012 12:00:00 AM,,,509.395,
17/01/2012 12:00:00 AM,,,509.393,
18/01/2012 12:00:00 AM,,,509.391,
19/01/2012 12:00:00 AM,,,509.387,
20/01/2012 12:00:00 AM,,,509.383,
21/01/2012 12:00:00 AM,,,509.38,
22/01/2012 12:00:00 AM,,,509.379,
23/01/2012 12:00:00 AM,,,509.374,
24/01/2012 12:00:00 AM,,,509.371,
25/01/2012 12:00:00 AM,,,509.369,
26/01/2012 12:00:00 AM,,,509.367,
27/01/2012 12:00:00 AM,,,509.365,
28/01/2012 12:00:00 AM,,,509.363,
29/01/2012 12:00:00 AM,,,509.36,
30/01/2012 12:00:00 AM,,,509.358,
31/01/2012 12:00:00 AM,,,509.356,
1/2/2012 0:00,,,509.355,
2/2/2012 0:00,,,509.353,
3/2/2012 0:00,,,509.35,
4/2/2012 0:00,,,509.347,
5/2/2012 0:00,,,509.346,
6/2/2012 0:00,,,509.346,
7/2/2012 0:00,,,509.342,
8/2/2012 0:00,,,509.34,
9/2/2012 0:00,,,509.34,
10/2/2012 0:00,,,509.336,
11/2/2012 0:00,,,509.333,
12/2/2012 0:00,,,509.331,
13/02/2012 12:00:00 AM,,,509.33,
14/02/2012 12:00:00 AM,,,509.329,
15/02/2012 12:00:00 AM,,,509.326,
16/02/2012 12:00:00 AM,,,509.325,
17/02/2012 12:00:00 AM,,,509.325,
18/02/2012 12:00:00 AM,,,509.323,
19/02/2012 12:00:00 AM,,,509.322,
20/02/2012 12:00:00 AM,,,509.321,
21/02/2012 12:00:00 AM,,,509.319,
22/02/2012 12:00:00 AM,,,509.32,
23/02/2012 12:00:00 AM,,,509.319,
24/02/2012 12:00:00 AM,,,509.317,
25/02/2012 12:00:00 AM,,,509.317,
26/02/2012 12:00:00 AM,,,509.322,
27/02/2012 12:00:00 AM,,,509.317,
28/02/2012 12:00:00 AM,,,509.314,
29/02/2012 12:00:00 AM,,,509.311,
1/3/2012 0:00,,,509.313,
2/3/2012 0:00,,,509.314,
3/3/2012 0:00,,,509.311,
4/3/2012 0:00,,,509.309,
5/3/2012 0:00,,,509.308,
6/3/2012 0:00,,,509.309,
7/3/2012 0:00,,,509.306,
8/3/2012 0:00,,,509.304,
9/3/2012 0:00,,,509.304,
10/3/2012 0:00,,,509.316,
11/3/2012 0:00,,,509.309,
12/3/2012 0:00,,,509.313,
13/03/2012 12:00:00 AM,,,509.306,
14/03/2012 12:00:00 AM,,,509.301,
15/03/2012 12:00:00 AM,,,509.303,
16/03/2012 12:00:00 AM,,,509.309,
17/03/2012 12:00:00 AM,,,509.317,
18/03/2012 12:00:00 AM,,,509.327,
19/03/2012 12:00:00 AM,,,509.336,
20/03/2012 12:00:00 AM,,,509.339,
21/03/2012 12:00:00 AM,,,509.343,
22/03/2012 12:00:00 AM,,,509.346,
23/03/2012 12:00:00 AM,,,509.351,
24/03/2012 12:00:00 AM,,,509.35,
25/03/2012 12:00:00 AM,,,509.349,
26/03/2012 12:00:00 AM,,,509.35,
27/03/2012 12:00:00 AM,,,509.356,
28/03/2012 12:00:00 AM,,,509.357,
29/03/2012 12:00:00 AM,,,509.359,
30/03/2012 12:00:00 AM,,,509.362,
31/03/2012 12:00:00 AM,,,509.371,
1/4/2012 0:00,,,509.378,
2/4/2012 0:00,,,509.383,
3/4/2012 0:00,,,509.401,
4/4/2012 0:00,,,509.387,
5/4/2012 0:00,,,509.399,
6/4/2012 0:00,,,509.447,
7/4/2012 0:00,,,509.466,
8/4/2012 0:00,,,509.457,
9/4/2012 0:00,,,509.444,
10/4/2012 0:00,,,509.429,
11/4/2012 0:00,,,509.388,
12/4/2012 0:00,,,509.355,
13/04/2012 12:00:00 AM,,,509.423,
14/04/2012 12:00:00 AM,,,509.431,
15/04/2012 12:00:00 AM,,,509.44,
16/04/2012 12:00:00 AM,,,509.422,
17/04/2012 12:00:00 AM,,,509.413,
18/04/2012 12:00:00 AM,,,509.414,
19/04/2012 12:00:00 AM,,,509.405,
20/04/2012 12:00:00 AM,,,509.404,
21/04/2012 12:00:00 AM,,,509.432,
22/04/2012 12:00:00 AM,,,509.412,
23/04/2012 12:00:00 AM,,,509.41,
24/04/2012 12:00:00 AM,,,509.414,
25/04/2012 12:00:00 AM,,,509.407,
26/04/2012 12:00:00 AM,,,509.295,
27/04/2012 12:00:00 AM,,,509.248,
28/04/2012 12:00:00 AM,,,509.385,
29/04/2012 12:00:00 AM,,,509.412,
30/04/2012 12:00:00 AM,,,509.411,
1/5/2012 0:00,,,509.411,
2/5/2012 0:00,,,509.412,
3/5/2012 0:00,,,509.399,
4/5/2012 0:00,,,509.386,
5/5/2012 0:00,,,509.402,
6/5/2012 0:00,,,509.451,
7/5/2012 0:00,,,509.475,
8/5/2012 0:00,,,509.443,
9/5/2012 0:00,,,509.442,
10/5/2012 0:00,,,509.463,
11/5/2012 0:00,,,509.458,
12/5/2012 0:00,,,509.446,
13/05/2012 12:00:00 AM,,,509.442,
14/05/2012 12:00:00 AM,,,509.443,
15/05/2012 12:00:00 AM,,,509.413,
16/05/2012 12:00:00 AM,,,509.39,
17/05/2012 12:00:00 AM,,,509.427,
18/05/2012 12:00:00 AM,,,509.412,
19/05/2012 12:00:00 AM,,,509.429,
20/05/2012 12:00:00 AM,,,509.403,
21/05/2012 12:00:00 AM,,,509.393,
22/05/2012 12:00:00 AM,,,509.397,
23/05/2012 12:00:00 AM,,,509.453,
24/05/2012 12:00:00 AM,,,509.464,
25/05/2012 12:00:00 AM,,,509.451,
26/05/2012 12:00:00 AM,,,509.441,
27/05/2012 12:00:00 AM,,,509.465,
28/05/2012 12:00:00 AM,,,509.508,
29/05/2012 12:00:00 AM,,,509.505,
30/05/2012 12:00:00 AM,,,509.506,
31/05/2012 12:00:00 AM,,,509.515,
1/6/2012 0:00,,,509.529,
2/6/2012 0:00,,,509.522,
3/6/2012 0:00,,,509.551,
4/6/2012 0:00,,,509.524,
5/6/2012 0:00,,,509.471,
6/6/2012 0:00,,,509.476,
7/6/2012 0:00,,,509.514,
8/6/2012 0:00,,,509.508,
9/6/2012 0:00,,,509.519,
10/6/2012 0:00,,,509.531,
11/6/2012 0:00,,,509.548,
12/6/2012 0:00,,,509.501,
13/06/2012 12:00:00 AM,,,509.502,
14/06/2012 12:00:00 AM,,,509.524,
15/06/2012 12:00:00 AM,,,509.512,
16/06/2012 12:00:00 AM,,,509.526,
17/06/2012 12:00:00 AM,,,509.517,
18/06/2012 12:00:00 AM,,,509.516,
19/06/2012 12:00:00 AM,,,509.503,
20/06/2012 12:00:00 AM,,,509.532,
21/06/2012 12:00:00 AM,,,509.527,
22/06/2012 12:00:00 AM,,,509.522,
23/06/2012 12:00:00 AM,,,509.522,
24/06/2012 12:00:00 AM,,,509.49,
25/06/2012 12:00:00 AM,,,509.497,
26/06/2012 12:00:00 AM,,,509.516,
27/06/2012 12:00:00 AM,,,509.549,
28/06/2012 12:00:00 AM,,,509.525,
29/06/2012 12:00:00 AM,,,509.514,
30/06/2012 12:00:00 AM,,,509.52,
1/7/2012 0:00,,,509.501,
2/7/2012 0:00,,,509.519,
3/7/2012 0:00,,,509.506,
4/7/2012 0:00,,,509.542,
5/7/2012 0:00,,,509.529,
6/7/2012 0:00,,,509.521,
7/7/2012 0:00,,,509.522,
8/7/2012 0:00,,,509.511,
9/7/2012 0:00,,,509.499,
10/7/2012 0:00,,,509.501,
11/7/2012 0:00,,,509.508,
12/7/2012 0:00,,,509.506,
13/07/2012 12:00:00 AM,,,509.5,
14/07/2012 12:00:00 AM,,,509.494,
15/07/2012 12:00:00 AM,,,509.495,
16/07/2012 12:00:00 AM,,,509.509,
17/07/2012 12:00:00 AM,,,509.515,
18/07/2012 12:00:00 AM,,,509.522,
19/07/2012 12:00:00 AM,,,509.534,
20/07/2012 12:00:00 AM,,,509.53,
21/07/2012 12:00:00 AM,,,509.514,
22/07/2012 12:00:00 AM,,,509.531,
23/07/2012 12:00:00 AM,,,509.497,
24/07/2012 12:00:00 AM,,,509.502,
25/07/2012 12:00:00 AM,,,509.521,
26/07/2012 12:00:00 AM,,,509.498,
27/07/2012 12:00:00 AM,,,509.484,
28/07/2012 12:00:00 AM,,,509.481,
29/07/2012 12:00:00 AM,,,509.495,
30/07/2012 12:00:00 AM,,,509.474,
31/07/2012 12:00:00 AM,,,509.481,
1/8/2012 0:00,,,509.476,
2/8/2012 0:00,,,509.469,
3/8/2012 0:00,,,509.501,
4/8/2012 0:00,,,509.49,
5/8/2012 0:00,,,509.487,
6/8/2012 0:00,,,509.487,
7/8/2012 0:00,,,509.484,
8/8/2012 0:00,,,509.486,
9/8/2012 0:00,,,509.465,
10/8/2012 0:00,,,509.478,
11/8/2012 0:00,,,509.49,
12/8/2012 0:00,,,509.499,
13/08/2012 12:00:00 AM,,,509.481,
14/08/2012 12:00:00 AM,,,509.474,
15/08/2012 12:00:00 AM,,,509.513,
16/08/2012 12:00:00 AM,,,509.481,
17/08/2012 12:00:00 AM,,,509.48,
18/08/2012 12:00:00 AM,,,509.475,
19/08/2012 12:00:00 AM,,,509.465,
20/08/2012 12:00:00 AM,,,509.469,
21/08/2012 12:00:00 AM,,,509.465,
22/08/2012 12:00:00 AM,,,509.464,
23/08/2012 12:00:00 AM,,,509.465,
24/08/2012 12:00:00 AM,,,509.468,
25/08/2012 12:00:00 AM,,,509.497,
26/08/2012 12:00:00 AM,,,509.467,
27/08/2012 12:00:00 AM,,,509.446,
28/08/2012 12:00:00 AM,,,509.444,
29/08/2012 12:00:00 AM,,,509.463,
30/08/2012 12:00:00 AM,,,509.442,
31/08/2012 12:00:00 AM,,,509.421,
1/9/2012 0:00,,,509.416,
2/9/2012 0:00,,,509.437,
3/9/2012 0:00,,,509.437,
4/9/2012 0:00,,,509.441,
5/9/2012 0:00,,,509.422,
6/9/2012 0:00,,,509.416,
7/9/2012 0:00,,,509.412,
8/9/2012 0:00,,,509.405,
9/9/2012 0:00,,,509.39,
10/9/2012 0:00,,,509.41,
11/9/2012 0:00,,,509.429,
12/9/2012 0:00,,,509.409,
13/09/2012 12:00:00 AM,,,509.379,
14/09/2012 12:00:00 AM,,,509.361,
15/09/2012 12:00:00 AM,,,509.378,
16/09/2012 12:00:00 AM,,,509.377,
17/09/2012 12:00:00 AM,,,509.363,
18/09/2012 12:00:00 AM,,,509.381,
19/09/2012 12:00:00 AM,,,509.379,
20/09/2012 12:00:00 AM,,,509.363,
21/09/2012 12:00:00 AM,,,509.356,
22/09/2012 12:00:00 AM,,,509.333,
23/09/2012 12:00:00 AM,,,509.333,
24/09/2012 12:00:00 AM,,,509.336,
25/09/2012 12:00:00 AM,,,509.326,
26/09/2012 12:00:00 AM,,,509.32,
27/09/2012 12:00:00 AM,,,509.315,
28/09/2012 12:00:00 AM,,,509.304,
29/09/2012 12:00:00 AM,,,509.301,
30/09/2012 12:00:00 AM,,,509.312,
1/10/2012 0:00,,,509.287,
2/10/2012 0:00,,,509.333,
3/10/2012 0:00,,,509.297,
4/10/2012 0:00,,,509.285,
5/10/2012 0:00,,,509.28,
6/10/2012 0:00,,,509.275,
7/10/2012 0:00,,,509.27,
8/10/2012 0:00,,,509.316,
9/10/2012 0:00,,,509.281,
10/10/2012 0:00,,,509.269,
11/10/2012 0:00,,,509.264,
12/10/2012 0:00,,,509.253,
13/10/2012 12:00:00 AM,,,509.266,
14/10/2012 12:00:00 AM,,,509.262,
15/10/2012 12:00:00 AM,,,509.269,
16/10/2012 12:00:00 AM,,,509.273,
17/10/2012 12:00:00 AM,,,509.419,
18/10/2012 12:00:00 AM,,,509.318,
19/10/2012 12:00:00 AM,,,509.256,
20/10/2012 12:00:00 AM,,,509.296,
21/10/2012 12:00:00 AM,,,509.293,
